step,seg,elapsed_s,x,y,z,vx,vy,vz,on_floor,fwd,back,left,right,jump,brake,oob,reward,done,outcome,goal_d
559,1,264.58,52.09,55.99,1.88,-0.59,-1.62,-1.71,0,0.57,0.00,0.00,0.70,0,0,0,-0.12,0,,40.4
560,1,264.55,52.07,55.94,1.82,-0.50,-1.54,-2.31,0,0.50,0.00,0.72,0.00,0,0,0,-0.12,0,,40.4
561,1,264.51,52.05,55.89,1.73,-0.63,-1.48,-2.97,0,0.00,0.03,0.92,0.00,0,0,0,-0.12,0,,40.4
562,1,264.48,52.03,55.84,1.62,-0.75,-1.52,-3.63,0,0.00,0.88,0.00,0.30,0,0,0,-0.12,0,,40.4
563,1,264.45,52.01,55.79,1.50,-0.71,-1.66,-4.23,0,0.00,0.79,0.39,0.00,1,0,0,-0.12,0,,40.4
564,1,264.42,51.99,55.73,1.35,-0.74,-1.80,-4.89,0,0.00,0.83,0.00,0.12,1,0,0,-0.12,0,,40.4
565,1,264.39,51.96,55.67,1.18,-0.79,-1.84,-5.55,0,0.51,0.00,0.73,0.00,1,0,0,-0.12,0,,40.4
566,1,264.36,51.94,55.62,1.00,-0.91,-1.78,-6.15,0,0.00,0.47,0.80,0.00,0,0,0,-0.12,0,,40.4
567,1,264.32,51.90,55.56,0.79,-1.04,-1.85,-6.81,0,0.47,0.00,0.82,0.00,0,0,0,-0.12,0,,40.4
568,1,264.29,51.87,55.50,0.58,-1.38,-1.62,7.44,0,0.00,0.49,0.00,0.74,1,0,0,0.88,0,,39.4
569,1,264.26,51.83,55.45,0.79,-1.28,-1.69,6.84,0,0.00,0.83,0.00,0.30,0,0,0,-0.12,0,,39.4
570,1,264.23,51.79,55.39,1.01,-1.21,-1.75,6.18,0,0.58,0.00,0.00,0.73,1,0,0,-0.12,0,,39.4
571,1,264.19,51.75,55.34,1.20,-1.12,-1.64,5.52,0,0.79,0.00,0.00,0.35,0,0,0,-0.12,0,,39.4
572,1,264.16,51.71,55.29,1.35,-1.07,-1.53,4.92,0,0.77,0.00,0.00,0.41,1,0,0,-0.12,0,,39.4
573,1,264.13,51.68,55.24,1.50,-1.01,-1.40,4.26,0,0.90,0.00,0.00,0.10,0,0,0,-0.12,0,,39.4
574,1,264.10,51.65,55.20,1.63,-1.03,-1.28,3.60,0,0.25,0.00,0.83,0.00,0,0,0,-0.12,0,,39.4
575,1,264.07,51.61,55.16,1.73,-1.06,-1.25,3.00,0,0.16,0.00,0.00,0.87,0,0,0,-0.12,0,,39.4
576,1,264.04,51.58,55.12,1.82,-0.94,-1.24,2.34,0,0.00,0.78,0.00,0.35,1,0,0,-0.53,0,,39.8
577,1,264.00,51.55,55.07,1.88,-0.91,-1.33,1.68,0,0.68,0.00,0.62,0.00,0,0,0,-0.12,0,,39.8
578,1,263.97,51.52,55.04,1.92,-0.99,-1.24,1.08,0,0.58,0.00,0.00,0.69,0,0,0,-0.12,0,,39.8
579,1,263.94,51.49,55.00,1.95,-0.89,-1.17,0.42,0,0.00,0.93,0.05,0.00,0,0,0,-0.12,0,,39.8
580,1,263.91,51.46,54.96,1.95,-0.90,-1.27,-0.24,0,0.93,0.00,0.06,0.00,0,0,0,-0.12,0,,39.8
581,1,263.88,51.44,54.92,1.93,-0.91,-1.14,-0.84,0,0.89,0.00,0.05,0.00,0,0,0,-0.12,0,,39.8
582,1,263.84,51.40,54.89,1.89,-0.93,-0.99,-1.50,0,0.91,0.00,0.13,0.00,0,0,0,-0.12,0,,39.8
583,1,263.81,51.37,54.85,1.83,-0.96,-0.98,-2.16,0,0.00,0.90,0.21,0.00,0,0,0,-0.12,0,,39.8
584,1,263.78,51.34,54.82,1.76,-0.94,-1.08,-2.76,0,0.00,0.24,0.00,0.85,0,0,0,-0.12,0,,39.8
585,1,263.75,51.32,54.79,1.65,-0.81,-1.13,-3.42,0,0.00,0.83,0.00,0.17,0,0,0,-0.12,0,,39.8
586,1,263.71,51.29,54.75,1.53,-0.83,-1.27,-4.08,0,0.00,0.81,0.35,0.00,0,0,0,-0.12,0,,39.8
587,1,263.68,51.26,54.71,1.39,-0.91,-1.38,-4.68,0,0.00,0.52,0.76,0.00,0,0,0,-0.12,0,,39.8
588,1,263.65,51.23,54.66,1.23,-1.05,-1.44,-5.34,0,0.00,0.00,0.92,0.00,0,0,0,-0.12,0,,39.8
589,1,263.62,51.19,54.61,1.04,-1.20,-1.41,-6.00,0,0.48,0.00,0.77,0.00,1,0,0,-0.12,0,,39.8
590,1,263.59,51.16,54.57,0.85,-1.29,-1.32,-6.60,0,0.84,0.00,0.32,0.00,1,0,0,-0.12,0,,39.8
591,1,263.56,51.11,54.53,0.62,-1.36,-1.19,-7.26,0,0.76,0.00,0.49,0.00,1,0,0,-0.12,0,,39.8
592,1,263.52,51.07,54.52,0.75,-1.12,0.05,6.97,0,0.00,0.70,0.63,0.00,0,0,0,-0.12,0,,39.8
593,1,263.49,51.04,54.52,0.95,-1.22,-0.06,6.37,0,0.00,0.74,0.59,0.00,0,0,0,-0.12,0,,39.8
594,1,263.46,51.00,54.52,1.15,-1.31,-0.16,5.71,0,0.77,0.00,0.00,0.53,0,0,0,-0.12,0,,39.8
595,1,263.43,50.95,54.51,1.32,-1.22,-0.08,5.05,0,0.00,0.52,0.00,0.76,0,0,0,-0.12,0,,39.8
596,1,263.40,50.92,54.51,1.46,-1.12,-0.14,4.45,0,0.92,0.00,0.15,0.00,0,0,0,-0.12,0,,39.8
597,1,263.36,50.88,54.51,1.60,-1.14,-0.02,3.79,0,0.00,0.87,0.00,0.28,0,0,0,-0.12,0,,39.8
598,1,263.33,50.85,54.51,1.71,-1.11,-0.11,3.13,0,0.93,0.00,0.10,0.00,0,0,0,0.88,0,,38.8
599,1,263.30,50.81,54.50,1.80,-1.12,-0.01,2.53,0,0.00,0.71,0.00,0.62,0,0,0,-0.12,0,,38.8
600,1,263.27,50.78,54.50,1.87,-1.05,-0.11,1.87,0,0.44,0.00,0.82,0.00,0,0,0,-0.12,0,,38.8
601,1,263.23,50.74,54.50,1.92,-1.18,-0.09,1.21,0,0.00,0.80,0.44,0.00,0,0,0,-0.12,0,,38.8
602,1,263.20,50.70,54.49,1.94,-1.24,-0.19,0.61,0,0.40,0.00,0.00,0.74,0,0,0,-0.12,0,,38.8
603,1,263.17,50.66,54.49,1.95,-1.14,-0.12,-0.05,0,0.85,0.00,0.02,0.00,1,0,0,-0.12,0,,38.8
604,1,263.14,50.63,54.49,1.94,-1.16,0.01,-0.71,0,0.81,0.00,0.42,0.00,0,0,0,-0.12,0,,38.8
605,1,263.11,50.59,54.49,1.91,-1.21,0.12,-1.31,0,0.81,0.00,0.00,0.42,1,0,0,-0.12,0,,38.8
606,1,263.07,50.55,54.50,1.85,-1.17,0.25,-1.97,0,0.86,0.00,0.00,0.14,0,0,0,-0.12,0,,38.8
607,1,263.04,50.51,54.51,1.78,-1.12,0.36,-2.63,0,0.02,0.00,0.00,0.89,1,0,0,-0.12,0,,38.8
608,1,263.01,50.48,54.52,1.69,-0.99,0.36,-3.23,0,0.10,0.00,0.00,0.77,0,0,0,-0.12,0,,38.8
609,1,262.98,50.45,54.53,1.57,-0.88,0.36,-3.89,0,0.00,0.87,0.00,0.00,1,0,0,-0.12,0,,38.8
610,1,262.95,50.42,54.54,1.43,-0.86,0.26,-4.55,0,0.66,0.00,0.00,0.69,0,0,0,-0.12,0,,38.8
611,1,262.92,50.40,54.55,1.28,-0.78,0.35,-5.15,0,0.83,0.00,0.39,0.00,0,0,0,-0.12,0,,38.8
612,1,262.88,50.37,54.56,1.10,-0.79,0.40,-5.81,0,0.00,0.56,0.00,0.73,0,0,0,-0.12,0,,38.8
613,1,262.85,50.35,54.57,0.90,-0.68,0.30,-6.47,0,0.00,0.85,0.00,0.38,1,0,0,-0.12,0,,38.8
614,1,262.82,50.33,54.58,0.69,-0.62,0.27,-7.07,0,0.84,0.00,0.00,0.27,1,0,0,-0.12,0,,38.8
615,1,262.79,50.33,54.59,0.68,0.63,0.30,7.19,0,0.00,0.80,0.34,0.00,0,0,0,-0.12,0,,38.8
616,1,262.75,50.35,54.60,0.90,0.61,0.17,6.53,0,0.00,0.81,0.00,0.22,0,0,0,-0.12,0,,38.8
617,1,262.72,50.37,54.60,1.09,0.65,0.04,5.93,0,0.00,0.34,0.00,0.77,1,0,0,-0.12,0,,38.8
618,1,262.69,50.39,54.60,1.27,0.73,0.05,5.27,0,0.92,0.00,0.00,0.10,1,0,0,-0.12,0,,38.8
619,1,262.66,50.41,54.61,1.43,0.76,0.18,4.61,0,0.41,0.00,0.00,0.84,0,0,0,-0.12,0,,38.8
620,1,262.63,50.44,54.61,1.56,0.86,0.23,4.01,0,0.00,0.32,0.82,0.00,0,0,0,-0.12,0,,38.8
621,1,262.60,50.46,54.62,1.68,0.74,0.14,3.35,0,0.00,0.73,0.54,0.00,1,0,0,-0.12,0,,38.8
622,1,262.56,50.49,54.62,1.78,0.65,0.07,2.69,0,0.85,0.00,0.20,0.00,0,0,0,-0.12,0,,38.8
623,1,262.53,50.51,54.63,1.85,0.62,0.19,2.09,0,0.82,0.00,0.00,0.43,1,0,0,-0.12,1,timeout,38.8
624,2,262.39,19.38,58.62,0.96,0.00,0.00,-0.96,0,0.00,0.87,0.10,0.00,0,0,0,-0.12,0,,19.4
625,2,262.36,19.37,58.62,0.91,0.00,-0.05,-1.62,0,0.82,0.00,0.00,0.40,1,0,0,-0.12,0,,19.4
626,2,262.33,19.38,58.62,0.85,0.02,0.03,-2.22,0,0.00,0.55,0.71,0.00,0,0,0,-0.12,0,,19.4
627,2,262.30,19.37,58.62,0.77,-0.11,-0.04,-2.88,0,0.00,0.09,0.83,0.00,0,0,0,-0.12,0,,19.4
628,2,262.26,19.37,58.62,0.66,-0.23,0.00,-3.54,0,0.76,0.00,0.55,0.00,0,0,0,-0.12,0,,19.4
629,2,262.24,19.36,58.63,0.60,-1.10,0.52,7.38,0,0.62,0.00,0.00,0.64,1,0,0,-0.12,0,,19.4
630,2,262.20,19.32,58.65,0.83,-1.02,0.62,6.72,0,0.81,0.00,0.00,0.21,0,0,0,-0.12,0,,19.4
631,2,262.17,19.29,58.67,1.04,-1.07,0.69,6.06,0,0.06,0.00,0.88,0.00,1,0,0,-0.12,0,,19.4
632,2,262.14,19.25,58.69,1.21,-1.13,0.73,5.46,0,0.77,0.00,0.00,0.50,0,0,0,-0.12,0,,19.4
633,2,262.11,19.22,58.71,1.38,-1.07,0.81,4.80,0,0.00,0.87,0.22,0.00,0,0,0,-0.12,0,,19.4
634,2,262.07,19.18,58.74,1.53,-1.08,0.66,4.14,0,0.00,0.89,0.00,0.14,0,0,0,-0.12,0,,19.4
635,2,262.04,19.15,58.76,1.64,-1.02,0.58,3.54,0,0.14,0.00,0.00,0.86,0,0,0,-0.12,0,,19.4
636,2,262.01,19.12,58.78,1.75,-0.93,0.62,2.88,0,0.65,0.00,0.56,0.00,0,0,0,-0.12,0,,19.4
637,2,261.98,19.09,58.80,1.83,-1.02,0.72,2.22,0,0.83,0.00,0.36,0.00,1,0,0,-0.12,0,,19.4
638,2,261.95,19.06,58.82,1.89,-1.08,0.84,1.62,0,0.91,0.00,0.30,0.00,0,0,0,-0.12,0,,19.4
639,2,261.91,19.02,58.85,1.93,-1.09,0.98,0.96,0,0.77,0.00,0.00,0.47,0,0,0,-0.12,0,,19.4
640,2,261.88,18.98,58.89,1.95,-1.05,1.07,0.30,0,0.00,0.39,0.76,0.00,0,0,0,-0.12,0,,19.4
641,2,261.85,18.95,58.92,1.95,-1.17,0.99,-0.30,0,0.00,0.74,0.56,0.00,1,0,0,-0.12,0,,19.4
642,2,261.82,18.91,58.95,1.93,-1.18,0.91,-0.96,0,0.05,0.00,0.00,0.85,0,0,0,-0.12,0,,19.4
643,2,261.79,18.87,58.98,1.88,-1.09,0.90,-1.62,0,0.00,0.35,0.80,0.00,0,0,0,0.88,0,,18.4
644,2,261.75,18.84,59.00,1.82,-1.17,0.83,-2.22,0,0.00,0.64,0.00,0.77,0,1,0,-0.12,0,,18.4
645,2,261.72,18.80,59.03,1.74,-1.04,0.72,-2.88,0,0.62,0.00,0.65,0.00,0,0,0,-0.12,0,,18.4
646,2,261.69,18.77,59.05,1.63,-1.13,0.80,-3.54,0,0.94,0.00,0.11,0.00,1,0,0,-0.12,0,,18.4
647,2,261.66,18.73,59.08,1.52,-1.12,0.92,-4.14,0,0.70,0.00,0.00,0.64,0,0,0,-0.12,0,,18.4
648,2,261.63,18.70,59.11,1.37,-1.05,1.03,-4.80,0,0.60,0.00,0.65,0.00,0,0,0,-0.12,0,,18.4
649,2,261.59,18.66,59.15,1.20,-1.05,1.07,-5.46,0,0.00,0.06,0.00,0.89,0,0,0,0.29,0,,18.0
650,2,261.56,18.63,59.18,1.02,-0.92,1.08,-6.06,0,0.29,0.00,0.00,0.89,0,0,0,-0.12,0,,18.0
651,2,261.53,18.61,59.22,0.81,-0.79,1.06,-6.72,0,0.00,0.76,0.00,0.65,0,1,0,-0.12,0,,18.0
652,2,261.50,18.58,59.25,0.58,-0.78,1.02,-7.38,0,0.44,0.00,0.69,0.00,1,0,0,-0.12,0,,18.0
653,2,261.47,18.60,59.28,0.77,0.57,1.14,6.92,0,0.00,0.33,0.82,0.00,1,0,0,-0.12,0,,18.0
654,2,261.43,18.61,59.32,0.98,0.52,1.12,6.26,0,0.45,0.00,0.00,0.73,0,0,0,-0.12,0,,18.0
655,2,261.40,18.63,59.36,1.18,0.52,1.18,5.60,0,0.37,0.00,0.86,0.00,0,0,0,-0.12,0,,18.0
656,2,261.37,18.65,59.39,1.34,0.39,1.18,5.00,0,0.00,0.50,0.78,0.00,0,0,0,-0.12,0,,18.0
657,2,261.34,18.66,59.43,1.49,0.32,1.08,4.34,0,0.00,0.87,0.00,0.37,0,0,0,-0.12,0,,18.0
658,2,261.31,18.67,59.47,1.62,0.34,0.96,3.68,0,0.00,0.03,0.86,0.00,0,0,0,-0.12,0,,18.0
659,2,261.27,18.68,59.49,1.72,0.22,0.97,3.08,0,0.85,0.00,0.27,0.00,1,0,0,-0.12,0,,18.0
660,2,261.24,18.68,59.53,1.81,0.19,1.06,2.42,0,0.00,0.91,0.00,0.23,0,0,0,-0.12,0,,18.0
661,2,261.21,18.69,59.56,1.88,0.24,0.93,1.76,0,0.00,0.02,0.00,0.91,0,0,0,-0.12,0,,18.0
662,2,261.18,18.70,59.59,1.92,0.35,0.94,1.16,0,0.87,0.00,0.00,0.11,0,0,0,-0.12,0,,18.0
663,2,261.15,18.71,59.62,1.95,0.37,1.04,0.50,0,0.00,0.51,0.00,0.71,0,0,0,-0.12,0,,18.0
664,2,261.11,18.72,59.65,1.95,0.46,0.93,-0.16,0,0.00,0.94,0.34,0.00,0,1,0,-0.12,0,,18.0
665,2,261.08,18.74,59.68,1.94,0.40,0.78,-0.76,0,0.00,0.84,0.30,0.00,1,0,0,-0.12,0,,18.0
666,2,261.05,18.75,59.70,1.90,0.37,0.68,-1.42,0,0.73,0.00,0.00,0.57,0,0,0,-0.12,0,,18.0
667,2,261.02,18.76,59.73,1.84,0.45,0.81,-2.08,0,0.85,0.00,0.00,0.34,0,0,0,-0.12,0,,18.0
668,2,260.99,18.78,59.75,1.77,0.51,0.91,-2.68,0,0.36,0.00,0.00,0.83,1,0,0,-0.12,0,,18.0
669,2,260.95,18.80,59.78,1.67,0.55,0.98,-3.34,0,0.59,0.00,0.68,0.00,1,0,0,-0.12,0,,18.0
670,2,260.92,18.81,59.82,1.55,0.45,1.03,-4.00,0,0.00,0.87,0.49,0.00,0,1,0,-0.12,0,,18.0
671,2,260.89,18.82,59.85,1.42,0.37,0.94,-4.60,0,0.65,0.00,0.53,0.00,0,0,0,-0.12,0,,18.0
672,2,260.86,18.84,59.88,1.25,0.32,1.01,-5.26,0,0.00,0.39,0.00,0.76,0,0,0,-0.12,0,,18.0
673,2,260.82,18.85,59.91,1.07,0.42,0.93,-5.92,0,0.00,0.87,0.00,0.23,1,0,0,-0.12,0,,18.0
674,2,260.80,18.86,59.94,0.88,0.42,0.81,-6.52,0,0.00,0.37,0.82,0.00,1,0,0,-0.12,0,,18.0
675,2,260.76,18.87,59.96,0.65,0.32,0.77,-7.18,0,0.37,0.00,0.00,0.80,0,0,0,-0.12,0,,18.0
676,2,260.73,18.86,59.97,0.64,-0.79,-0.13,3.29,0,0.00,0.60,0.00,0.71,1,0,0,-0.12,0,,18.0
677,2,260.70,18.84,59.96,0.73,-0.71,-0.24,2.69,0,0.00,0.91,0.00,0.10,0,0,0,-0.12,0,,18.0
678,2,260.67,18.81,59.95,0.80,-0.71,-0.28,2.03,0,0.94,0.00,0.08,0.00,0,0,0,-0.12,0,,18.0
679,2,260.63,18.79,59.95,0.86,-0.67,-0.16,1.37,0,0.50,0.00,0.00,0.72,0,0,0,-0.12,0,,18.0
680,2,260.60,18.77,59.94,0.89,-0.57,-0.08,0.77,0,0.58,0.00,0.69,0.00,0,0,0,-0.12,0,,18.0
681,2,260.57,18.75,59.94,0.90,-0.64,0.02,0.11,0,0.87,0.00,0.00,0.16,0,0,0,-0.12,0,,18.0
682,2,260.54,18.73,59.95,0.89,-0.65,0.11,-0.55,1,0.00,0.48,0.70,0.00,0,0,0,-0.02,0,,18.0
683,2,260.51,18.71,59.95,0.87,-0.73,0.02,-1.15,0,0.00,0.91,0.00,0.23,0,0,0,-0.12,0,,18.0
684,2,260.47,18.69,59.95,0.82,-0.67,-0.10,-1.81,0,0.00,0.30,0.00,0.86,0,0,0,-0.12,0,,18.0
685,2,260.44,18.67,59.94,0.75,-0.58,-0.17,-2.47,0,0.00,0.75,0.49,0.00,0,0,0,-0.12,0,,18.0
686,2,260.41,18.65,59.94,0.66,-0.62,-0.19,-3.07,0,0.92,0.00,0.00,0.19,0,0,0,-0.12,0,,18.0
687,2,260.38,18.63,59.94,0.57,0.83,0.80,1.73,0,0.83,0.00,0.41,0.00,0,0,0,-0.12,0,,18.0
688,2,260.35,18.66,59.96,0.62,0.79,0.92,1.07,0,0.62,0.00,0.00,0.68,1,0,0,-0.12,0,,18.0
689,2,260.31,18.68,59.99,0.64,0.89,0.96,0.47,0,0.00,0.20,0.00,0.89,1,0,0,-0.12,0,,18.0
690,2,260.28,18.72,60.02,0.64,1.00,0.95,-0.19,0,0.81,0.00,0.33,0.00,1,0,0,-0.12,0,,18.0
691,2,260.25,18.75,60.06,0.62,0.93,1.07,-0.85,1,0.69,0.00,0.57,0.00,0,0,0,-0.02,0,,18.0
692,2,260.22,18.77,60.09,0.59,0.83,1.16,-1.45,0,0.32,0.00,0.83,0.00,0,0,0,-0.12,0,,18.0
693,2,260.19,18.78,60.13,0.58,-0.16,1.10,0.51,0,0.00,0.94,0.00,0.05,1,0,0,-0.53,0,,18.4
694,2,260.15,18.78,60.16,0.58,-0.19,0.96,-0.15,0,0.00,0.18,0.94,0.00,1,0,0,-0.12,0,,18.4
695,2,260.12,18.77,60.19,0.57,-0.28,0.94,-0.75,1,0.12,0.00,0.00,0.92,0,0,0,-0.02,0,,18.4
696,2,260.09,18.76,60.21,0.57,-0.22,0.69,-0.22,0,0.83,0.00,0.00,0.40,0,0,0,-0.12,0,,18.4
697,2,260.06,18.76,60.24,0.56,-0.14,1.06,0.00,1,0.20,0.00,0.91,0.00,0,0,0,-0.02,0,,18.4
698,2,260.03,18.75,60.28,0.56,-0.22,1.10,0.00,1,0.17,0.00,0.00,0.89,0,0,0,-0.02,0,,18.4
699,2,259.99,18.75,60.31,0.56,0.20,1.03,0.00,1,0.00,0.41,0.00,0.84,0,0,0,-0.02,0,,18.4
700,2,259.96,18.76,60.34,0.61,0.52,0.81,7.34,1,0.00,0.79,0.00,0.38,1,0,0,-0.02,0,,18.4
701,2,259.93,18.78,60.36,0.82,0.59,0.70,6.74,0,0.00,0.50,0.00,0.70,0,0,0,-0.12,0,,18.4
702,2,259.90,18.80,60.39,1.03,0.64,0.69,6.08,0,0.88,0.00,0.28,0.00,1,0,0,-0.12,0,,18.4
703,2,259.87,18.82,60.41,1.22,0.61,0.79,5.42,0,0.00,0.74,0.00,0.45,0,0,0,-0.12,0,,18.4
704,2,259.83,18.84,60.43,1.37,0.65,0.67,4.82,0,0.00,0.79,0.62,0.00,1,1,0,-0.12,0,,18.4
705,2,259.80,18.86,60.45,1.52,0.63,0.60,4.16,0,0.34,0.00,0.00,0.86,1,0,0,-0.12,0,,18.4
706,2,259.77,18.88,60.47,1.64,0.77,0.65,3.50,0,0.11,0.00,0.00,0.86,0,0,0,-1.12,0,,19.4
707,2,259.74,18.91,60.49,1.74,0.89,0.66,2.90,0,0.00,0.91,0.00,0.02,1,0,0,-0.12,0,,19.4
708,2,259.71,18.94,60.51,1.82,0.91,0.52,2.24,0,0.00,0.77,0.00,0.36,0,0,0,-0.12,0,,19.4
709,2,259.67,18.97,60.53,1.88,0.92,0.41,1.58,0,0.00,0.06,0.90,0.00,0,0,0,-0.12,0,,19.4
710,2,259.64,19.00,60.54,1.92,0.78,0.40,0.98,0,0.59,0.00,0.00,0.64,0,0,0,-0.12,0,,19.4
711,2,259.61,19.02,60.56,1.94,0.78,0.48,0.32,0,0.50,0.00,0.70,0.00,1,0,0,-0.12,0,,19.4
712,2,259.58,19.04,60.57,1.94,0.65,0.56,-0.34,0,0.29,0.00,0.85,0.00,0,0,0,-0.12,0,,19.4
713,2,259.55,19.06,60.59,1.92,0.52,0.59,-0.94,0,0.25,0.00,0.89,0.00,1,0,0,-0.12,0,,19.4
714,2,259.51,19.08,60.61,1.88,0.37,0.60,-1.60,0,0.00,0.75,0.66,0.00,0,1,0,-0.12,0,,19.4
715,2,259.48,19.09,60.63,1.81,0.26,0.47,-2.26,0,0.00,0.40,0.79,0.00,0,0,0,-0.12,0,,19.4
716,2,259.45,19.09,60.64,1.74,0.15,0.39,-2.86,0,0.00,0.88,0.48,0.00,1,1,0,-0.12,0,,19.4
717,2,259.42,19.10,60.65,1.63,0.09,0.24,-3.52,0,0.00,0.90,0.00,0.05,1,0,0,-0.12,0,,19.4
718,2,259.38,19.10,60.66,1.50,0.03,0.16,-4.18,0,0.17,0.00,0.86,0.00,0,0,0,-0.12,0,,19.4
719,2,259.36,19.10,60.66,1.37,-0.10,0.16,-4.78,0,0.00,0.42,0.76,0.00,0,0,0,-0.12,0,,19.4
720,2,259.32,19.09,60.66,1.20,-0.16,0.07,-5.44,0,0.00,0.85,0.00,0.53,0,1,0,-0.12,0,,19.4
721,2,259.29,19.09,60.66,1.00,-0.12,-0.04,-6.10,0,0.30,0.00,0.82,0.00,1,0,0,-0.12,0,,19.4
722,2,259.26,19.08,60.66,0.81,-0.20,0.01,-6.70,0,0.72,0.00,0.00,0.60,1,0,0,-0.12,0,,19.4
723,2,259.23,19.08,60.67,0.58,-0.16,0.13,-7.36,0,0.86,0.00,0.31,0.00,0,0,0,-0.12,0,,19.4
724,2,259.19,19.03,60.64,0.67,-1.47,-0.95,3.06,0,0.00,0.61,0.00,0.79,0,1,0,-0.12,0,,19.4
725,2,259.16,18.99,60.61,0.75,-1.35,-1.04,2.46,0,0.00,0.88,0.00,0.20,1,0,0,-0.12,0,,19.4
726,2,259.13,18.94,60.57,0.82,-1.32,-1.19,1.80,0,0.00,0.94,0.16,0.00,0,0,0,-0.12,0,,19.4
727,2,259.10,18.90,60.53,0.87,-1.28,-1.28,1.14,0,0.05,0.00,0.00,0.90,0,0,0,-0.12,0,,19.4
728,2,259.07,18.86,60.49,0.89,-1.22,-1.23,0.54,0,0.82,0.00,0.34,0.00,1,0,0,0.88,0,,18.4
729,2,259.03,18.82,60.45,0.90,-1.28,-1.15,-0.12,0,0.00,0.85,0.35,0.00,0,0,0,-0.12,0,,18.4
730,2,259.00,18.78,60.41,0.88,-1.28,-1.18,-0.78,1,0.68,0.00,0.00,0.56,0,0,0,-0.02,0,,18.4
731,2,258.97,18.74,60.38,0.85,-1.22,-1.08,-1.38,0,0.82,0.00,0.00,0.28,0,0,0,-0.12,0,,18.4
732,2,258.94,18.70,60.35,0.79,-1.16,-1.03,-2.04,0,0.00,0.68,0.00,0.55,0,0,0,-0.12,0,,18.4
733,2,258.90,18.67,60.31,0.71,-1.06,-1.15,-2.70,0,0.00,0.66,0.00,0.69,0,0,0,-0.12,0,,18.4
734,2,258.88,18.64,60.27,0.62,-0.97,-1.25,-3.30,0,0.00,0.72,0.00,0.55,1,0,0,-0.12,0,,18.4
735,2,258.84,18.64,60.24,0.69,0.80,-0.87,7.13,0,0.67,0.00,0.61,0.00,0,0,0,-0.12,0,,18.4
736,2,258.81,18.66,60.21,0.91,0.69,-0.87,6.47,0,0.00,0.64,0.68,0.00,0,0,0,-0.12,0,,18.4
737,2,258.78,18.68,60.18,1.10,0.63,-0.96,5.87,0,0.00,0.31,0.00,0.85,0,0,0,-0.12,0,,18.4
738,2,258.75,18.70,60.15,1.28,0.77,-0.99,5.21,0,0.09,0.00,0.00,0.89,1,0,0,-0.12,0,,18.4
739,2,258.71,18.73,60.12,1.44,0.92,-0.98,4.55,0,0.00,0.48,0.00,0.76,0,0,0,0.29,0,,18.0
740,2,258.68,18.76,60.09,1.56,1.03,-1.04,3.95,0,0.87,0.00,0.00,0.29,0,0,0,-0.12,0,,18.0
741,2,258.65,18.79,60.05,1.68,1.06,-0.93,3.29,0,0.84,0.00,0.32,0.00,0,0,0,-0.12,0,,18.0
742,2,258.62,18.83,60.03,1.78,1.07,-0.90,2.63,0,0.00,0.60,0.00,0.61,0,0,0,-0.12,0,,18.0
743,2,258.59,18.86,60.00,1.85,1.15,-1.00,2.03,0,0.00,0.49,0.00,0.70,0,0,0,-0.12,0,,18.0
744,2,258.55,18.90,59.96,1.90,1.26,-1.09,1.37,0,0.00,0.77,0.00,0.44,0,0,0,-1.12,0,,19.0
745,2,258.52,18.95,59.92,1.94,1.29,-1.20,0.71,0,0.00,0.01,0.85,0.00,0,0,0,-0.12,0,,19.0
746,2,258.49,18.98,59.89,1.95,1.16,-1.24,0.11,0,0.00,0.44,0.84,0.00,0,0,0,-0.12,0,,19.0
747,2,258.46,19.02,59.85,1.94,1.02,-1.32,-0.55,0,0.00,0.29,0.00,0.88,0,0,0,-0.12,0,,19.0
748,2,258.43,19.05,59.80,1.91,1.01,-1.39,-1.21,0,0.00,0.55,0.72,0.00,0,0,0,-0.12,0,,19.0
749,2,258.39,19.08,59.76,1.87,0.93,-1.44,-1.81,0,0.82,0.00,0.00,0.45,1,0,0,-0.12,0,,19.0
750,2,258.36,19.11,59.71,1.79,0.98,-1.41,-2.47,0,0.00,0.90,0.00,0.08,1,0,0,-0.12,0,,19.0
751,2,258.33,19.15,59.66,1.70,0.97,-1.54,-3.13,0,0.00,0.25,0.80,0.00,0,0,0,-0.12,0,,19.0
752,2,258.30,19.17,59.62,1.60,0.85,-1.59,-3.73,0,0.93,0.00,0.00,0.07,1,0,0,-0.12,0,,19.0
753,2,258.27,19.20,59.56,1.46,0.80,-1.55,-4.39,0,0.00,0.53,0.66,0.00,0,0,0,-0.12,0,,19.0
754,2,258.23,19.22,59.51,1.31,0.70,-1.66,-5.05,0,0.00,0.73,0.47,0.00,0,0,0,-0.12,0,,19.0
755,2,258.20,19.24,59.46,1.14,0.66,-1.74,-5.65,0,0.26,0.00,0.00,0.85,0,0,0,-0.12,0,,19.0
756,2,258.17,19.27,59.40,0.95,0.77,-1.67,-6.31,0,0.77,0.00,0.00,0.41,0,0,0,-0.12,0,,19.0
757,2,258.14,19.29,59.35,0.73,0.79,-1.58,-6.97,0,0.00,0.35,0.88,0.00,0,0,0,-0.12,0,,19.0
758,2,258.11,19.31,59.30,0.59,-0.75,-2.14,3.53,0,0.86,0.00,0.00,0.39,0,0,0,-0.12,0,,19.0
