wall,step,seg,time_left_s,x,y,z,vx,vy,vz,on_floor,fwd,back,left,right,jump,brake,oob,reward,done,outcome,goal_d
0.9,153642,0,296.57,-7.00,6.03,0.56,-4.99,3.76,0.00,1,0.00,0.61,0.00,0.80,0,1,0,-0.02,0,,27.0
0.9,153643,0,296.50,-7.31,6.27,0.56,-4.59,3.70,0.00,1,0.86,0.00,0.18,0.00,0,0,0,1.39,0,,25.6
1.0,153644,0,296.44,-7.60,6.52,0.56,-4.71,4.16,0.00,1,0.71,0.00,0.53,0.00,0,0,0,-0.02,0,,25.6
1.0,153645,0,296.38,-7.90,6.79,0.56,-4.56,4.11,0.00,1,0.00,0.66,0.00,0.75,0,1,0,-0.02,0,,25.6
1.0,153646,0,296.31,-8.19,7.06,0.56,-4.36,4.27,0.00,1,0.85,0.00,0.28,0.00,0,0,0,0.98,0,,24.6
1.0,153647,0,296.25,-8.46,7.33,0.56,-4.43,4.10,0.00,1,0.00,0.77,0.42,0.00,0,0,0,0.39,0,,24.1
1.0,153648,0,296.19,-8.70,7.37,0.59,-3.19,-1.90,0.47,1,0.04,0.00,0.91,0.00,0,0,0,-0.02,0,,24.1
1.1,153649,0,296.12,-8.92,7.24,0.58,-3.49,-1.85,-0.85,0,0.20,0.00,0.85,0.00,0,0,0,-0.12,0,,24.1
1.1,153650,0,296.06,-9.15,7.14,0.56,-3.97,-1.29,0.00,0,0.32,0.00,0.89,0.00,0,0,0,0.88,0,,23.1
1.1,153651,0,296.00,-9.42,7.08,0.56,-4.46,-0.55,0.00,1,0.52,0.00,0.71,0.00,0,0,0,-0.43,0,,23.6
1.1,153652,0,295.93,-9.73,7.06,0.56,-4.92,-0.37,0.00,1,0.00,0.20,0.79,0.00,0,0,0,-0.02,0,,23.6
1.2,153653,0,295.87,-10.05,7.04,0.56,-5.23,-0.10,0.00,1,0.83,0.00,0.45,0.00,0,0,0,-0.02,0,,23.6
1.2,153654,0,295.80,-10.39,7.05,0.56,-5.47,0.07,0.00,1,0.00,0.61,0.72,0.00,0,0,0,0.98,0,,22.6
1.2,153655,0,295.74,-10.76,7.05,0.56,-5.75,0.25,0.00,1,0.62,0.00,0.62,0.00,0,0,0,-0.02,0,,22.6
1.2,153656,0,295.67,-11.13,7.08,0.56,-5.87,0.89,0.00,1,0.91,0.00,0.22,0.00,0,0,0,0.98,0,,21.6
1.2,153657,0,295.61,-11.50,7.16,0.56,-5.96,1.57,0.00,1,0.72,0.00,0.57,0.00,0,0,0,0.39,0,,21.1
1.3,153658,0,295.55,-11.90,7.28,0.56,-6.32,1.88,0.00,1,0.12,0.00,0.92,0.00,0,0,0,-0.02,0,,21.1
1.3,153659,0,295.48,-12.29,7.41,0.56,-5.94,2.25,0.00,1,0.78,0.00,0.00,0.46,0,0,0,0.98,0,,20.1
1.3,153660,0,295.42,-12.68,7.44,0.56,-6.12,0.11,0.00,1,0.00,0.28,0.85,0.00,0,0,0,-0.02,0,,20.1
1.3,153661,0,295.35,-13.09,7.44,0.56,-6.35,-0.23,0.00,1,0.00,0.74,0.48,0.00,0,0,0,-0.02,0,,20.1
1.3,153662,0,295.29,-13.48,7.41,0.56,-5.73,-0.41,0.00,1,0.04,0.00,0.00,1.00,0,1,0,0.98,0,,19.1
1.4,153663,0,295.23,-13.81,7.39,0.56,-4.84,-0.41,0.00,1,0.00,0.05,0.00,0.95,0,0,0,-0.02,0,,19.1
1.4,153664,0,295.16,-14.11,7.37,0.56,-4.53,-0.14,0.00,1,0.64,0.00,0.71,0.00,0,0,0,-0.02,0,,19.1
1.4,153665,0,295.10,-14.41,7.37,0.56,-4.91,-0.14,0.00,1,0.00,0.64,0.63,0.00,0,0,0,0.98,0,,18.1
1.4,153666,0,295.04,-14.73,7.35,0.56,-5.19,-0.21,0.00,1,0.71,0.00,0.51,0.00,0,0,0,-0.02,0,,18.1
1.4,153667,0,294.97,-15.08,7.35,0.56,-5.48,0.38,0.00,1,0.53,0.00,0.70,0.00,0,0,0,-0.02,0,,18.1
1.5,153668,0,294.91,-15.43,7.40,0.56,-5.67,0.98,0.00,1,0.88,0.00,0.24,0.00,0,0,0,0.98,0,,17.1
1.5,153669,0,294.84,-15.79,7.48,0.56,-5.52,1.72,0.00,1,0.94,0.00,0.00,0.05,0,0,0,-0.02,0,,17.1
1.5,153670,0,294.78,-16.15,7.62,0.56,-5.50,2.31,0.00,1,0.61,0.00,0.74,0.00,0,0,0,0.98,0,,16.1
1.5,153671,0,294.71,-16.51,7.77,0.56,-5.91,2.38,0.00,1,0.00,0.10,0.86,0.00,0,0,0,-0.02,0,,16.1
1.6,153672,0,294.65,-16.89,7.92,0.56,-6.16,2.50,0.00,1,0.83,0.00,0.30,0.00,0,0,0,-0.02,0,,16.1
1.6,153673,0,294.58,-17.30,8.10,0.56,-6.26,3.04,0.00,1,0.65,0.00,0.62,0.00,0,0,0,0.98,0,,15.1
1.6,153674,0,294.52,-17.70,8.31,0.56,-6.45,3.46,0.00,1,0.72,0.00,0.57,0.00,0,0,0,0.39,0,,14.7
1.6,153675,0,294.46,-18.11,8.54,0.56,-6.38,3.98,0.00,1,0.94,0.00,0.00,0.01,0,0,0,-0.02,0,,14.7
1.6,153676,0,294.39,-18.51,8.83,0.56,-5.80,4.57,0.00,1,0.84,0.00,0.00,0.40,0,0,0,0.98,0,,13.7
1.7,153677,0,294.33,-18.85,9.12,0.56,-5.11,4.54,0.00,1,0.00,0.62,0.00,0.79,0,1,0,-0.02,0,,13.7
1.7,153678,0,294.27,-19.16,9.40,0.56,-4.72,4.45,0.00,1,0.90,0.00,0.19,0.00,0,0,0,1.39,0,,12.3
1.7,153679,0,294.20,-19.47,9.70,0.56,-4.72,4.33,0.00,1,0.00,0.87,0.28,0.00,0,0,0,-0.02,0,,12.3
1.7,153680,0,294.14,-19.77,9.95,0.56,-4.72,4.13,0.00,1,0.93,0.00,0.05,0.00,0,0,0,-0.02,0,,12.3
1.7,153681,0,294.07,-20.06,10.23,0.56,-4.87,4.53,0.00,1,0.53,0.00,0.66,0.00,0,0,0,0.39,0,,11.9
1.8,153682,0,294.01,-20.40,10.54,0.56,-5.30,4.72,0.00,1,0.55,0.00,0.76,0.00,0,0,0,0.98,0,,10.9
1.8,153683,0,293.95,-20.74,10.85,0.56,-5.42,5.14,0.00,1,0.89,0.00,0.30,0.00,0,0,0,-0.02,0,,10.9
1.8,153684,0,293.88,-21.08,11.18,0.56,-5.60,5.48,0.00,1,0.52,0.00,0.80,0.00,0,0,0,0.39,0,,10.5
1.8,153685,0,293.82,-21.47,11.54,0.56,-6.10,5.28,0.00,1,0.04,0.00,0.93,0.00,0,0,0,0.98,0,,9.5
