step,seg,time_left_s,x,y,z,vx,vy,vz,on_floor,fwd,back,left,right,jump,brake,oob,reward,done,outcome,goal_d
45,0,296.25,0.16,-0.64,1.80,0.82,-2.08,-2.38,0,0.00,0.92,0.00,0.11,1,0,0,-0.12,0,,36.5
46,0,296.19,0.21,-0.77,1.61,0.88,-1.98,-3.64,0,0.84,0.00,0.00,0.28,0,0,0,-0.12,0,,36.5
47,0,296.12,0.27,-0.90,1.32,0.96,-2.09,-4.96,0,0.00,0.83,0.00,0.25,0,0,0,-0.53,0,,36.9
48,0,296.06,0.34,-1.04,0.97,1.07,-2.35,-6.22,0,0.00,0.81,0.00,0.41,0,0,0,-0.12,0,,36.9
49,0,296.00,0.41,-1.19,0.58,1.18,-0.43,3.62,0,0.00,0.19,0.84,0.00,0,0,0,-0.12,0,,36.9
50,0,295.93,0.48,-1.22,0.77,0.93,-0.58,2.30,0,0.00,0.71,0.61,0.00,0,0,0,-0.12,0,,36.9
51,0,295.87,0.53,-1.26,0.87,0.86,-0.83,1.04,0,0.00,0.83,0.00,0.29,0,0,0,-0.12,0,,36.9
52,0,295.80,0.59,-1.32,0.90,0.89,-1.10,-0.22,0,0.00,0.81,0.08,0.00,0,0,0,-0.12,0,,36.9
53,0,295.74,0.64,-1.40,0.84,0.82,-1.11,-1.54,1,0.89,0.00,0.29,0.00,0,0,0,-0.02,0,,36.9
54,0,295.67,0.69,-1.47,0.70,0.77,-1.11,-2.80,0,0.00,0.93,0.00,0.06,0,0,0,-0.12,0,,36.9
55,0,295.61,0.73,-1.58,0.60,0.06,-2.89,1.38,0,0.71,0.00,0.50,0.00,0,0,0,-0.12,0,,36.9
56,0,295.55,0.73,-1.76,0.64,0.00,-2.63,0.06,0,0.89,0.00,0.00,0.29,0,0,0,-0.12,0,,36.9
57,0,295.48,0.73,-1.92,0.61,-0.05,-2.37,-1.20,1,0.86,0.00,0.31,0.00,0,0,0,-0.43,0,,37.3
58,0,295.42,0.71,-2.04,0.82,-0.35,-1.52,6.75,0,0.00,0.42,0.83,0.00,1,0,0,-0.12,0,,37.3
59,0,295.35,0.68,-2.14,1.22,-0.40,-1.52,5.43,0,0.53,0.00,0.00,0.73,1,0,0,-0.12,0,,37.3
60,0,295.29,0.67,-2.23,1.52,-0.22,-1.55,4.17,0,0.00,0.74,0.00,0.48,0,0,0,-0.12,0,,37.3
61,0,295.23,0.66,-2.34,1.74,-0.15,-1.81,2.91,0,0.00,0.87,0.03,0.00,1,0,0,-0.12,0,,37.3
62,0,295.16,0.64,-2.46,1.88,-0.15,-1.82,1.59,0,1.00,0.00,0.00,0.08,0,1,0,-0.12,0,,37.3
63,0,295.10,0.64,-2.58,1.94,0.02,-1.87,0.33,0,0.00,0.50,0.00,0.80,1,0,0,-0.12,0,,37.3
64,0,295.04,0.65,-2.70,1.92,0.26,-2.04,-0.93,0,0.00,0.55,0.00,0.77,0,0,0,-0.12,0,,37.3
65,0,294.97,0.67,-2.84,1.81,0.38,-2.30,-2.25,0,0.00,0.86,0.00,0.22,1,0,0,-0.12,0,,37.3
66,0,294.91,0.69,-2.99,1.63,0.34,-2.20,-3.51,0,0.83,0.00,0.24,0.00,0,0,0,-0.53,0,,37.7
67,0,294.84,0.71,-3.12,1.37,0.19,-1.99,-4.77,0,0.44,0.00,0.74,0.00,0,0,0,-0.12,0,,37.7
68,0,294.78,0.72,-3.24,1.01,0.28,-1.85,-6.09,0,0.50,0.00,0.00,0.76,0,0,0,-0.12,0,,37.7
69,0,294.71,0.75,-3.36,0.58,0.49,-1.67,-7.35,0,0.74,0.00,0.00,0.57,0,0,0,-0.12,0,,37.7
70,0,294.65,0.84,-3.39,0.75,1.40,-0.46,2.48,0,0.54,0.00,0.78,0.00,1,0,0,-0.12,0,,37.7
71,0,294.58,0.93,-3.42,0.87,1.22,-0.59,1.16,0,0.00,0.76,0.40,0.00,0,0,0,-1.12,0,,38.7
72,0,294.52,1.00,-3.47,0.90,1.18,-0.61,-0.10,0,0.85,0.00,0.00,0.20,1,0,0,-0.12,0,,38.7
73,0,294.46,1.07,-3.50,0.85,1.12,-0.35,-1.36,1,0.86,0.00,0.25,0.00,0,0,0,-0.02,0,,38.7
74,0,294.39,1.15,-3.51,0.72,1.00,-0.08,-2.68,0,0.84,0.00,0.38,0.00,0,0,0,-0.12,0,,38.7
75,0,294.33,1.18,-3.50,0.59,-0.67,0.67,1.50,0,0.35,0.00,0.00,0.87,0,0,0,-0.12,0,,38.7
76,0,294.27,1.15,-3.45,0.64,-0.40,0.75,0.24,0,0.20,0.00,0.00,0.90,0,0,0,-0.12,0,,38.7
77,0,294.20,1.13,-3.40,0.61,-0.38,0.81,-1.08,1,0.19,0.00,0.85,0.00,1,0,0,-0.02,0,,38.7
78,0,294.14,1.13,-3.35,0.58,0.61,0.72,0.25,0,0.00,0.00,0.00,0.91,0,0,0,-0.12,0,,38.7
79,0,294.07,1.18,-3.31,0.57,1.11,0.36,0.11,1,0.00,0.78,0.00,0.47,0,0,0,-0.02,0,,38.7
80,0,294.01,1.26,-3.30,0.78,1.40,0.06,6.86,1,0.16,0.00,0.00,0.91,1,0,0,-0.02,0,,38.7
81,0,293.95,1.35,-3.30,1.17,1.44,0.15,5.60,0,0.49,0.00,0.68,0.00,0,0,0,-0.12,0,,38.7
82,0,293.88,1.44,-3.28,1.48,1.19,0.28,4.34,0,0.47,0.00,0.81,0.00,0,0,0,-0.12,0,,38.7
83,0,293.82,1.51,-3.26,1.72,1.30,0.36,3.02,0,0.13,0.00,0.00,0.92,1,0,0,-0.12,0,,38.7
84,0,293.75,1.60,-3.24,1.87,1.17,0.42,1.76,0,0.26,0.00,0.92,0.00,1,0,0,-0.12,0,,38.7
85,0,293.69,1.67,-3.21,1.94,1.19,0.26,0.50,0,0.00,0.81,0.00,0.45,0,0,0,-0.12,0,,38.7
86,0,293.62,1.75,-3.20,1.93,1.13,0.11,-0.82,0,0.00,0.02,0.84,0.00,0,0,0,-0.12,0,,38.7
87,0,293.56,1.81,-3.20,1.83,0.85,0.07,-2.08,0,0.00,0.19,0.89,0.00,0,0,0,-0.12,0,,38.7
88,0,293.50,1.86,-3.19,1.66,0.76,0.12,-3.34,0,0.67,0.00,0.00,0.59,0,0,0,-0.12,0,,38.7
89,0,293.43,1.91,-3.18,1.39,0.85,0.09,-4.66,0,0.00,0.92,0.00,0.00,0,0,0,-1.12,0,,39.7
90,0,293.37,1.96,-3.19,1.06,0.78,-0.18,-5.92,0,0.00,0.80,0.34,0.00,0,0,0,-0.12,0,,39.7
91,0,293.31,2.01,-3.21,0.64,0.73,-0.47,-7.18,0,0.00,0.88,0.01,0.00,0,0,0,-0.12,0,,39.7
92,0,293.24,1.99,-3.32,0.74,-0.55,-2.00,2.58,0,0.00,0.89,0.00,0.20,0,0,0,-0.12,0,,39.7
93,0,293.18,1.95,-3.45,0.86,-0.40,-2.13,1.32,0,0.23,0.00,0.00,0.87,0,0,0,-0.12,0,,39.7
94,0,293.12,1.94,-3.58,0.90,-0.24,-2.21,0.06,0,0.00,0.87,0.00,0.07,0,0,0,-0.12,0,,39.7
95,0,293.05,1.92,-3.74,0.86,-0.42,-2.42,-1.26,1,0.00,0.48,0.75,0.00,0,0,0,-0.02,0,,39.7
96,0,292.99,1.88,-3.90,0.74,-0.66,-2.59,-2.52,0,0.00,0.58,0.68,0.00,0,0,0,-0.53,0,,40.1
97,0,292.92,1.84,-4.07,0.58,-0.36,-3.00,1.63,0,0.00,0.76,0.55,0.00,0,0,0,0.88,0,,39.1
98,0,292.86,1.81,-4.27,0.64,-0.29,-2.93,0.31,0,0.73,0.00,0.00,0.57,1,0,0,-0.12,0,,39.1
99,0,292.79,1.79,-4.44,0.62,-0.37,-2.73,-0.95,0,0.67,0.00,0.52,0.00,1,0,0,-0.12,0,,39.1
100,0,292.73,1.76,-4.59,0.58,-0.75,-1.85,0.37,0,0.08,0.00,0.00,0.88,0,0,0,-0.12,0,,39.1
101,0,292.67,1.72,-4.72,0.56,-0.51,-2.14,0.00,0,0.00,0.65,0.00,0.56,0,0,0,-0.12,0,,39.1
102,0,292.60,1.71,-4.86,0.56,0.26,-2.42,0.00,1,0.00,0.33,0.00,0.82,0,0,0,-0.02,0,,39.1
103,0,292.54,1.74,-5.02,0.88,0.54,-2.30,6.56,1,0.84,0.00,0.00,0.33,1,0,0,-0.43,0,,39.5
104,0,292.47,1.78,-5.16,1.27,0.69,-2.06,5.24,0,0.65,0.00,0.00,0.64,0,0,0,-0.12,0,,39.5
105,0,292.41,1.83,-5.28,1.55,0.84,-1.85,3.98,0,0.81,0.00,0.00,0.35,1,0,0,-0.12,0,,39.5
106,0,292.35,1.88,-5.39,1.76,0.79,-1.78,2.72,0,0.00,0.46,0.73,0.00,1,0,0,-1.12,0,,40.5
107,0,292.28,1.93,-5.51,1.90,0.69,-1.74,1.40,0,0.90,0.00,0.00,0.21,1,0,0,-0.12,0,,40.5
108,0,292.22,1.97,-5.62,1.94,0.58,-1.63,0.14,0,0.00,0.21,0.90,0.00,1,0,0,-0.12,0,,40.5
109,0,292.15,2.00,-5.72,1.91,0.52,-1.47,-1.12,0,0.86,0.00,0.00,0.15,0,0,0,-0.12,0,,40.5
110,0,292.09,2.04,-5.80,1.79,0.63,-1.22,-2.44,0,0.70,0.00,0.00,0.59,0,0,0,-0.12,0,,40.5
111,0,292.03,2.09,-5.88,1.60,0.85,-1.08,-3.70,0,0.22,0.00,0.00,0.93,0,0,0,-0.53,0,,40.9
112,0,291.96,2.14,-5.94,1.32,0.72,-1.12,-4.96,0,0.00,0.21,0.89,0.00,1,0,0,-0.12,0,,40.9
113,0,291.90,2.19,-6.02,0.95,0.80,-1.18,-6.28,0,0.00,0.07,0.00,0.85,0,0,0,-0.12,0,,40.9
114,0,291.83,2.25,-6.07,0.59,1.39,1.68,3.54,0,0.87,0.00,0.00,0.36,0,0,0,-0.12,0,,40.9
115,0,291.77,2.34,-5.96,0.77,1.44,1.70,2.28,0,0.00,0.88,0.03,0.00,1,0,0,-0.12,0,,40.9
116,0,291.70,2.43,-5.86,0.88,1.55,1.57,0.96,0,0.25,0.00,0.00,0.87,0,0,0,0.29,0,,40.5
117,0,291.64,2.54,-5.76,0.90,1.73,1.48,-0.30,0,0.00,0.85,0.00,0.32,0,0,0,-0.12,0,,40.5
118,0,291.58,2.65,-5.67,0.84,1.89,1.26,-1.56,1,0.00,0.41,0.00,0.78,1,0,0,-0.02,0,,40.5
119,0,291.51,2.78,-5.59,0.69,2.15,1.20,-2.88,0,0.12,0.00,0.00,0.91,0,0,0,-0.12,0,,40.5
120,0,291.45,2.93,-5.56,0.60,2.60,-0.57,1.28,0,0.00,0.11,0.85,0.00,0,0,0,-1.12,0,,41.5
121,0,291.39,3.09,-5.60,0.64,2.48,-0.70,0.02,0,0.00,0.77,0.00,0.31,0,0,0,-0.12,0,,41.5
122,0,291.32,3.25,-5.65,0.60,2.30,-0.73,-1.30,1,0.27,0.00,0.88,0.00,0,0,0,-0.02,0,,41.5
123,0,291.26,3.35,-5.69,0.58,1.26,-0.69,0.00,0,0.00,0.81,0.41,0.00,0,0,0,-0.12,0,,41.5
124,0,291.19,3.44,-5.75,0.56,1.47,-1.14,0.00,1,0.00,0.37,0.00,0.82,0,0,0,-0.02,0,,41.5
125,0,291.13,3.54,-5.83,0.56,1.48,-1.51,0.00,1,0.00,0.50,0.71,0.00,0,0,0,-0.02,0,,41.5
