step,seg,time_left_s,x,y,z,vx,vy,vz,on_floor,fwd,back,left,right,jump,brake,oob,reward,done,outcome,goal_d
1451,4,205.48,-50.65,32.14,0.75,1.37,0.94,2.46,0,0.00,0.09,0.00,0.84,0,0,0,-0.53,0,,34.9
1452,4,205.42,-50.56,32.19,0.87,1.61,0.84,1.20,0,0.00,0.51,0.00,0.74,0,0,0,-0.12,0,,34.9
1453,4,205.35,-50.44,32.25,0.90,1.82,0.83,-0.12,0,0.67,0.00,0.00,0.60,1,0,0,-0.12,0,,34.9
1454,4,205.29,-50.33,32.30,0.85,1.73,1.01,-1.38,1,0.60,0.00,0.62,0.00,0,0,0,-0.02,0,,34.9
1455,4,205.23,-50.22,32.37,0.72,1.73,1.15,-2.64,0,0.26,0.00,0.00,0.85,1,0,0,-0.12,0,,34.9
1456,4,205.16,-50.11,32.44,0.59,1.35,0.29,1.47,0,0.00,0.59,0.66,0.00,0,0,0,0.88,0,,33.9
1457,4,205.10,-50.03,32.45,0.64,1.32,0.08,0.21,0,0.00,0.66,0.00,0.59,0,0,0,-0.12,0,,33.9
1458,4,205.03,-49.94,32.45,0.61,1.54,-0.04,-1.05,1,0.05,0.00,0.00,0.88,0,0,0,-0.02,0,,33.9
1459,4,204.97,-49.81,32.45,0.58,2.50,0.07,0.21,0,0.70,0.00,0.00,0.63,0,0,0,-0.12,0,,33.9
1460,4,204.91,-49.64,32.46,0.56,2.71,0.22,0.00,1,0.00,0.31,0.00,0.74,0,0,0,-0.02,0,,33.9
1461,4,204.84,-49.45,32.46,0.56,3.23,0.17,0.00,1,0.36,0.00,0.00,0.85,0,0,0,-0.02,0,,33.9
1462,4,204.78,-49.22,32.48,0.56,3.69,0.04,0.00,1,0.00,0.59,0.00,0.58,0,0,0,-0.02,0,,33.9
1463,4,204.71,-48.98,32.46,0.56,4.06,-0.48,0.00,1,0.00,0.46,0.00,0.80,0,0,0,0.98,0,,32.9
1464,4,204.65,-48.71,32.42,0.56,4.50,-0.88,0.00,1,0.00,0.43,0.00,0.78,0,0,0,-0.02,0,,32.9
1465,4,204.59,-48.42,32.35,0.56,4.04,-1.20,0.00,1,0.00,0.42,0.81,0.00,0,0,0,-0.02,0,,32.9
1466,4,204.52,-48.19,32.27,0.56,3.18,-1.23,0.00,1,0.28,0.00,0.96,0.00,0,1,0,-0.02,0,,32.9
1467,4,204.46,-48.02,32.19,0.56,2.34,-1.28,0.00,1,0.00,0.56,0.74,0.00,0,0,0,0.98,0,,31.9
1468,4,204.39,-47.89,32.10,0.78,1.89,-1.41,6.86,1,0.84,0.00,0.00,0.04,1,0,0,0.39,0,,31.5
1469,4,204.33,-47.77,32.02,1.17,1.92,-1.15,5.60,0,0.85,0.00,0.00,0.23,0,0,0,-0.12,0,,31.5
1470,4,204.27,-47.65,31.96,1.48,2.05,-0.94,4.34,0,0.56,0.00,0.00,0.74,0,0,0,-0.12,0,,31.5
1471,4,204.20,-47.51,31.90,1.72,2.10,-0.73,3.02,0,0.86,0.00,0.38,0.00,1,0,0,-0.12,0,,31.5
1472,4,204.14,-47.38,31.86,1.87,2.09,-0.49,1.76,0,0.74,0.00,0.00,0.43,0,0,0,-0.12,0,,31.5
1473,4,204.07,-47.24,31.84,1.94,2.27,-0.38,0.50,0,0.00,0.06,0.00,0.92,0,0,0,-0.12,0,,31.5
1474,4,204.01,-47.08,31.81,1.93,2.45,-0.27,-0.82,0,0.89,0.00,0.00,0.15,0,0,0,0.88,0,,30.5
1475,4,203.95,-46.92,31.80,1.83,2.58,-0.18,-2.08,0,0.00,0.35,0.00,0.79,1,0,0,-0.12,0,,30.5
1476,4,203.88,-46.75,31.79,1.66,2.75,-0.14,-3.34,0,0.86,0.00,0.00,0.30,0,0,0,-0.12,0,,30.5
1477,4,203.82,-46.57,31.79,1.39,2.82,0.13,-4.66,0,0.87,0.00,0.00,0.15,0,0,0,-0.12,0,,30.5
1478,4,203.75,-46.39,31.80,1.06,2.81,0.12,-5.92,0,0.00,0.90,0.18,0.00,0,0,0,-0.12,0,,30.5
1479,4,203.69,-46.21,31.80,0.64,2.89,-0.07,-7.18,0,0.00,0.15,0.00,0.91,0,0,0,-0.12,0,,30.5
1480,4,203.62,-45.99,31.91,0.74,3.45,2.10,2.58,0,0.93,0.00,0.16,0.00,0,0,0,0.88,0,,29.5
1481,4,203.56,-45.78,32.05,0.86,3.47,2.36,1.32,0,0.83,0.00,0.00,0.43,1,0,0,-0.12,0,,29.5
1482,4,203.50,-45.55,32.21,0.90,3.61,2.58,0.06,0,0.62,0.00,0.00,0.59,0,0,0,-0.53,0,,29.9
1483,4,203.43,-45.31,32.38,0.86,3.58,2.71,-1.26,1,0.23,0.00,0.82,0.00,0,0,0,-0.02,0,,29.9
1484,4,203.37,-45.10,32.56,0.74,3.34,2.83,-2.52,0,0.60,0.00,0.66,0.00,0,0,0,0.88,0,,28.9
1485,4,203.31,-44.91,32.73,0.58,1.46,2.09,1.64,0,0.00,0.13,0.83,0.00,0,0,0,-0.12,0,,28.9
1486,4,203.24,-44.82,32.87,0.64,1.18,1.99,0.32,0,0.00,0.41,0.78,0.00,0,0,0,-0.12,0,,28.9
1487,4,203.18,-44.75,32.99,0.62,0.93,1.99,-0.94,0,0.50,0.00,0.71,0.00,0,0,0,-0.12,0,,28.9
1488,4,203.12,-44.70,33.12,0.73,0.96,1.94,7.00,0,0.00,0.89,0.05,0.00,1,0,0,-0.12,0,,28.9
1489,4,203.05,-44.63,33.24,1.15,0.99,2.04,5.68,0,0.91,0.00,0.00,0.24,0,0,0,-0.53,0,,29.3
1490,4,202.99,-44.57,33.38,1.47,0.97,2.30,4.42,0,0.87,0.00,0.33,0.00,0,0,0,-0.12,0,,29.3
1491,4,202.92,-44.51,33.53,1.70,1.01,2.50,3.16,0,0.41,0.00,0.00,0.82,0,0,0,-0.12,0,,29.3
1492,4,202.86,-44.43,33.70,1.87,1.27,2.62,1.84,0,0.34,0.00,0.00,0.76,0,0,0,-0.12,0,,29.3
1493,4,202.79,-44.35,33.87,1.94,1.48,2.76,0.58,0,0.67,0.00,0.00,0.57,0,0,0,-0.12,0,,29.3
1494,4,202.73,-44.25,34.05,1.93,1.45,2.87,-0.68,0,0.02,0.00,0.92,0.00,0,0,0,-0.12,0,,29.3
1495,4,202.66,-44.16,34.24,1.84,1.42,2.89,-2.00,0,0.14,0.00,0.00,0.91,0,0,0,-0.53,0,,29.7
1496,4,202.60,-44.06,34.42,1.68,1.68,2.88,-3.26,0,0.00,0.15,0.00,0.87,1,0,0,0.88,0,,28.7
1497,4,202.54,-43.96,34.60,1.43,1.56,2.95,-4.52,0,0.39,0.00,0.84,0.00,1,0,0,-0.12,0,,28.7
1498,4,202.47,-43.86,34.80,1.09,1.42,2.89,-5.84,0,0.00,0.83,0.00,0.14,0,0,0,-0.12,0,,28.7
1499,4,202.41,-43.77,34.98,0.68,1.40,2.87,-7.10,0,0.83,0.00,0.22,0.00,0,0,0,-0.12,0,,28.7
1500,4,202.35,-43.69,35.16,0.72,1.19,2.95,2.71,0,0.84,0.00,0.15,0.00,0,0,0,-0.53,0,,29.1
1501,4,202.28,-43.62,35.36,0.85,1.11,2.96,1.39,0,0.00,0.87,0.28,0.00,1,0,0,-0.12,0,,29.1
1502,4,202.22,-43.55,35.54,0.90,1.14,2.70,0.13,0,0.00,0.71,0.00,0.62,0,0,0,-0.12,0,,29.1
1503,4,202.16,-43.47,35.70,0.86,1.18,2.46,-1.13,1,0.00,0.81,0.40,0.00,0,0,0,-0.02,0,,29.1
1504,4,202.09,-43.40,35.86,0.74,1.20,2.41,-2.45,0,0.64,0.00,0.00,0.65,0,0,0,-0.12,0,,29.1
1505,4,202.03,-43.32,36.01,0.57,1.04,1.94,1.68,0,0.73,0.00,0.55,0.00,0,0,0,-0.12,0,,29.1
1506,4,201.96,-43.26,36.14,0.64,1.03,1.98,0.42,0,0.00,0.59,0.00,0.71,1,0,0,-0.53,0,,29.6
1507,4,201.90,-43.18,36.26,0.62,1.12,2.00,-0.90,0,0.88,0.00,0.24,0.00,1,0,0,-0.12,0,,29.6
1508,4,201.83,-43.11,36.41,0.58,1.20,2.68,0.40,0,0.00,0.58,0.00,0.68,0,0,0,0.88,0,,28.6
1509,4,201.77,-43.03,36.57,0.56,1.47,2.60,0.00,0,0.02,0.00,0.00,0.87,0,0,0,-0.12,0,,28.6
1510,4,201.71,-42.92,36.73,0.78,1.86,2.20,6.86,1,0.00,0.44,0.00,0.80,1,0,0,-0.02,0,,28.6
1511,4,201.64,-42.80,36.87,1.17,1.83,2.33,5.60,0,0.81,0.00,0.43,0.00,0,0,0,-0.12,0,,28.6
1512,4,201.58,-42.69,37.02,1.48,1.75,2.35,4.34,0,0.00,0.83,0.03,0.00,0,0,0,-0.12,0,,28.6
1513,4,201.51,-42.57,37.17,1.72,1.86,2.19,3.02,0,0.02,0.00,0.00,0.85,0,0,0,-0.53,0,,29.0
1514,4,201.45,-42.45,37.30,1.87,1.88,2.26,1.76,0,0.51,0.00,0.75,0.00,0,0,0,-0.12,0,,29.0
1515,4,201.39,-42.34,37.45,1.94,1.78,2.23,0.50,0,0.00,0.90,0.00,0.26,0,0,0,-0.12,0,,29.0
1516,4,201.32,-42.22,37.59,1.93,1.93,2.10,-0.82,0,0.34,0.00,0.00,0.79,0,0,0,-0.12,0,,29.0
1517,4,201.26,-42.09,37.72,1.83,2.13,2.03,-2.08,0,0.00,0.79,0.00,0.51,0,0,0,0.88,0,,28.0
1518,4,201.19,-41.95,37.84,1.66,2.10,1.90,-3.34,0,0.08,0.00,0.92,0.00,0,0,0,-0.12,0,,28.0
1519,4,201.13,-41.82,37.96,1.39,1.97,1.71,-4.66,0,0.00,0.87,0.11,0.00,1,0,0,-0.12,0,,28.0
1520,4,201.07,-41.69,38.06,1.06,1.94,1.42,-5.92,0,0.00,0.91,0.06,0.00,0,0,0,-0.12,0,,28.0
1521,4,201.00,-41.57,38.14,0.64,2.00,1.34,-7.18,0,0.67,0.00,0.00,0.50,0,0,0,-0.53,0,,28.4
1522,4,200.94,-41.47,38.10,0.74,1.37,-1.04,2.58,0,0.00,0.56,0.83,0.00,1,1,0,0.29,0,,28.0
1523,4,200.87,-41.39,38.03,0.86,1.09,-1.10,1.32,0,0.30,0.00,0.89,0.00,1,0,0,-0.12,0,,28.0
1524,4,200.81,-41.33,37.97,0.90,0.80,-1.02,0.06,0,0.24,0.00,0.87,0.00,0,0,0,-0.12,0,,28.0
1525,4,200.75,-41.28,37.90,0.86,0.89,-0.93,-1.26,1,0.33,0.00,0.00,0.84,0,0,0,-0.02,0,,28.0
1526,4,200.68,-41.22,37.85,0.74,0.90,-0.93,-2.52,0,0.00,0.30,0.86,0.00,0,0,0,-0.12,0,,28.0
1527,4,200.62,-41.17,37.80,0.58,0.29,0.68,1.64,0,0.00,0.31,0.00,0.84,0,0,0,-0.12,0,,28.0
1528,4,200.55,-41.15,37.84,0.64,0.32,0.68,0.32,0,0.37,0.00,0.73,0.00,0,0,0,-0.12,0,,28.0
1529,4,200.49,-41.14,37.88,0.62,0.16,0.49,-0.94,0,0.00,0.90,0.43,0.00,0,1,0,-0.12,0,,28.0
1530,4,200.43,-41.13,37.88,0.58,-0.06,-0.55,0.37,0,0.03,0.00,0.88,0.00,0,0,0,-0.12,0,,28.0
1531,4,200.36,-41.15,37.85,0.63,-0.48,-0.52,7.28,0,0.35,0.00,0.00,0.85,1,0,0,-0.12,0,,28.0
1532,4,200.30,-41.17,37.82,1.05,-0.48,-0.31,6.02,0,0.85,0.00,0.31,0.00,0,0,0,-0.12,0,,28.0
1533,4,200.24,-41.20,37.81,1.38,-0.32,-0.13,4.76,0,0.55,0.00,0.00,0.84,0,1,0,-0.12,0,,28.0
1534,4,200.17,-41.22,37.81,1.65,-0.17,0.10,3.44,0,0.89,0.00,0.00,0.09,0,0,0,-0.12,0,,28.0
1535,4,200.11,-41.23,37.82,1.83,-0.19,0.37,2.18,0,0.93,0.00,0.16,0.00,0,0,0,-0.12,0,,28.0
1536,4,200.04,-41.24,37.85,1.93,-0.41,0.48,0.92,0,0.16,0.00,0.90,0.00,0,0,0,-0.12,0,,28.0
1537,4,199.98,-41.28,37.88,1.94,-0.62,0.63,-0.40,0,0.88,0.00,0.24,0.00,1,0,0,-0.12,0,,28.0
1538,4,199.91,-41.32,37.93,1.87,-0.74,0.89,-1.66,0,0.78,0.00,0.45,0.00,1,0,0,-0.12,0,,28.0
1539,4,199.85,-41.37,37.99,1.73,-0.91,0.80,-2.92,0,0.00,0.68,0.54,0.00,1,0,0,-0.12,0,,28.0
1540,4,199.78,-41.44,38.03,1.49,-1.09,0.56,-4.24,0,0.00,0.73,0.54,0.00,0,0,0,-0.12,0,,28.0
1541,4,199.72,-41.51,38.06,1.18,-1.06,0.46,-5.50,0,0.18,0.00,0.00,0.85,0,0,0,-0.12,0,,28.0
1542,4,199.66,-41.58,38.09,0.79,-1.17,0.54,-6.76,0,0.35,0.00,0.78,0.00,0,0,0,-0.12,0,,28.0
1543,4,199.59,-41.68,38.16,0.80,-1.77,1.47,6.82,0,0.00,0.62,0.00,0.59,1,0,0,-0.53,0,,28.4
1544,4,199.53,-41.79,38.25,1.19,-1.75,1.25,5.56,0,0.00,0.78,0.42,0.00,0,0,0,-0.12,0,,28.4
1545,4,199.47,-41.90,38.32,1.50,-1.71,1.08,4.30,0,0.00,0.13,0.00,0.88,0,0,0,-0.12,0,,28.4
1546,4,199.40,-42.01,38.39,1.74,-1.62,0.93,2.98,0,0.00,0.70,0.45,0.00,0,0,0,-0.12,0,,28.4
1547,4,199.34,-42.11,38.44,1.89,-1.58,0.81,1.72,0,0.05,0.00,0.00,0.88,0,0,0,-0.12,0,,28.4
1548,4,199.28,-42.20,38.49,1.95,-1.52,0.88,0.46,0,0.56,0.00,0.69,0.00,1,0,0,-1.12,0,,29.4
1549,4,199.21,-42.31,38.55,1.94,-1.63,0.83,-0.86,0,0.00,0.86,0.00,0.23,0,0,0,-0.12,0,,29.4
1550,4,199.15,-42.41,38.60,1.84,-1.70,0.78,-2.12,0,0.68,0.00,0.63,0.00,0,0,0,-0.12,0,,29.4
1551,4,199.08,-42.52,38.66,1.66,-1.75,1.00,-3.38,0,0.75,0.00,0.00,0.51,0,0,0,-0.12,0,,29.4
1552,4,199.02,-42.64,38.73,1.40,-1.78,1.05,-4.70,0,0.00,0.52,0.72,0.00,1,0,0,-0.12,0,,29.4
1553,4,198.95,-42.76,38.79,1.06,-1.95,0.82,-5.96,0,0.00,0.82,0.30,0.00,0,0,0,-0.12,0,,29.4
1554,4,198.89,-42.88,38.83,0.64,-2.04,0.78,-7.22,0,0.90,0.00,0.24,0.00,0,0,0,-0.12,0,,29.4
1555,4,198.82,-42.98,38.79,0.74,-1.38,-0.81,2.58,0,0.87,0.00,0.10,0.00,0,0,0,-0.12,0,,29.4
1556,4,198.76,-43.07,38.75,0.86,-1.49,-0.57,1.32,0,0.71,0.00,0.61,0.00,0,0,0,-0.12,0,,29.4
1557,4,198.70,-43.17,38.72,0.90,-1.65,-0.57,0.06,0,0.00,0.87,0.26,0.00,0,0,0,-1.12,0,,30.4
1558,4,198.63,-43.28,38.67,0.86,-1.57,-0.83,-1.26,1,0.00,0.74,0.00,0.52,1,0,0,-0.02,0,,30.4
1559,4,198.57,-43.37,38.61,0.74,-1.36,-0.88,-2.52,0,0.48,0.00,0.00,0.82,1,0,0,-0.12,1,timeout,30.4
1560,5,198.30,-7.62,48.63,0.88,0.09,0.09,-1.92,0,0.65,0.00,0.00,0.66,1,0,0,-0.12,0,,37.1
1561,5,198.23,-7.61,48.64,0.72,0.29,0.09,-3.18,0,0.00,0.65,0.00,0.66,0,0,0,-0.12,0,,37.1
1562,5,198.17,-7.60,48.63,0.71,0.03,-0.29,7.08,0,0.68,0.00,0.00,0.44,1,0,0,-0.12,0,,37.1
1563,5,198.10,-7.59,48.62,1.13,0.24,-0.15,5.76,0,0.22,0.00,0.00,0.89,1,0,0,-0.12,0,,37.1
1564,5,198.04,-7.57,48.61,1.45,0.27,-0.08,4.50,0,0.28,0.00,0.79,0.00,0,0,0,-0.12,0,,37.1
1565,5,197.98,-7.55,48.61,1.69,0.33,0.06,3.24,0,0.61,0.00,0.00,0.66,0,0,0,-0.12,0,,37.1
1566,5,197.91,-7.52,48.62,1.86,0.60,0.17,1.92,0,0.24,0.00,0.00,0.88,0,0,0,-0.12,0,,37.1
1567,5,197.85,-7.48,48.63,1.94,0.46,0.23,0.66,0,0.25,0.00,0.89,0.00,0,0,0,-0.12,0,,37.1
1568,5,197.79,-7.46,48.65,1.94,0.35,0.36,-0.60,0,0.78,0.00,0.00,0.40,0,0,0,-0.12,0,,37.1
1569,5,197.72,-7.43,48.68,1.86,0.58,0.40,-1.92,0,0.00,0.16,0.00,0.93,0,0,0,-0.12,0,,37.1
1570,5,197.66,-7.39,48.70,1.69,0.75,0.50,-3.18,0,0.90,0.00,0.00,0.22,0,0,0,-0.12,0,,37.1
1571,5,197.59,-7.34,48.74,1.45,0.68,0.58,-4.44,0,0.00,0.50,0.80,0.00,0,0,0,-0.12,0,,37.1
1572,5,197.53,-7.30,48.77,1.11,0.66,0.49,-5.76,0,0.08,0.00,0.00,0.89,0,0,0,-0.12,0,,37.1
1573,5,197.47,-7.25,48.81,0.71,0.79,0.63,-7.02,0,0.93,0.00,0.09,0.00,0,0,0,-0.12,0,,37.1
1574,5,197.40,-7.15,48.92,0.70,2.04,2.42,2.83,0,0.00,0.23,0.00,0.90,1,0,0,-0.12,0,,37.1
1575,5,197.34,-7.01,49.08,0.85,2.16,2.18,1.51,0,0.00,0.89,0.00,0.18,1,0,0,-1.12,0,,38.1
1576,5,197.27,-6.87,49.20,0.90,2.21,1.88,0.25,0,0.00,0.89,0.00,0.22,0,0,0,0.29,0,,37.7
1577,5,197.21,-6.73,49.32,0.87,2.30,1.81,-1.01,1,0.72,0.00,0.00,0.49,0,0,0,-0.02,0,,37.7
1578,5,197.15,-6.58,49.44,0.76,2.49,1.99,-2.33,0,0.41,0.00,0.00,0.79,0,0,0,-0.12,0,,37.7
1579,5,197.08,-6.41,49.57,0.57,2.73,2.12,-3.59,0,0.53,0.00,0.00,0.76,0,0,0,-0.12,0,,37.7
1580,5,197.02,-6.24,49.60,0.64,2.88,0.37,0.60,0,0.00,0.22,0.00,0.85,0,0,0,-0.12,0,,37.7
1581,5,196.95,-6.04,49.62,0.63,3.09,0.44,-0.72,0,0.77,0.00,0.00,0.47,1,0,0,-1.12,0,,38.7
1582,5,196.89,-5.83,49.66,0.56,3.65,0.72,0.00,0,0.00,0.81,0.00,0.38,0,0,0,-0.12,0,,38.7
1583,5,196.83,-5.60,49.70,0.56,3.96,0.63,0.00,1,0.22,0.00,0.00,0.84,0,0,0,-0.02,0,,38.7
1584,5,196.76,-5.32,49.74,0.56,4.52,0.58,0.00,1,0.00,0.23,0.00,0.90,0,0,0,-0.02,0,,38.7
1585,5,196.70,-5.02,49.78,0.56,4.45,0.68,0.00,1,0.75,0.00,0.56,0.00,0,0,0,-1.02,0,,39.7
1586,5,196.63,-4.76,49.83,0.76,3.93,0.90,6.92,1,0.00,0.51,0.77,0.00,1,0,0,-0.02,0,,39.7
1587,5,196.57,-4.51,49.89,1.17,3.67,0.87,5.60,0,0.44,0.00,0.74,0.00,0,0,0,-0.12,0,,39.7
1588,5,196.51,-4.29,49.95,1.48,3.41,0.89,4.34,0,0.00,0.34,0.85,0.00,0,0,0,-0.12,0,,39.7
1589,5,196.44,-4.08,50.00,1.71,3.32,0.72,3.08,0,0.00,0.70,0.00,0.56,1,0,0,-1.12,0,,40.7
1590,5,196.38,-3.86,50.04,1.87,3.49,0.68,1.76,0,0.68,0.00,0.00,0.54,0,0,0,-0.12,0,,40.7
1591,5,196.31,-3.63,50.09,1.94,3.69,0.83,0.50,0,0.38,0.00,0.00,0.82,1,0,0,-0.12,0,,40.7
1592,5,196.25,-3.39,50.15,1.93,3.75,0.99,-0.76,0,0.67,0.00,0.59,0.00,1,0,0,0.29,0,,40.2
1593,5,196.19,-3.15,50.21,1.83,3.75,1.02,-2.08,0,0.00,0.46,0.00,0.74,0,0,0,-0.12,0,,40.2
1594,5,196.12,-2.91,50.27,1.66,3.77,0.82,-3.34,0,0.00,0.76,0.54,0.00,0,0,0,-1.12,0,,41.2
1595,5,196.06,-2.68,50.32,1.41,3.75,0.59,-4.60,0,0.00,0.59,0.00,0.56,0,0,0,-0.12,0,,41.2
1596,5,195.99,-2.43,50.35,1.06,3.70,0.45,-5.92,0,0.00,0.16,0.99,0.00,0,1,0,-0.12,0,,41.2
1597,5,195.93,-2.20,50.38,0.64,3.39,0.45,-7.18,0,0.29,0.00,0.90,0.00,0,0,0,-0.12,0,,41.2
1598,5,195.87,-2.12,50.35,0.73,0.95,-0.62,2.64,0,0.00,0.78,0.00,0.48,0,0,0,-1.12,0,,42.2
1599,5,195.80,-2.05,50.31,0.86,0.89,-0.74,1.32,0,0.22,0.00,0.85,0.00,0,0,0,-0.12,0,,42.2
1600,5,195.74,-2.00,50.26,0.90,0.86,-0.77,0.06,0,0.00,0.43,0.00,0.77,1,0,0,-0.12,0,,42.2
1601,5,195.68,-1.94,50.21,0.86,0.90,-0.77,-1.20,1,0.66,0.00,0.66,0.00,0,0,0,-0.02,0,,42.2
1602,5,195.61,-1.89,50.16,0.74,0.76,-0.90,-2.52,0,0.00,0.85,0.27,0.00,0,0,0,-0.12,0,,42.2
1603,5,195.55,-1.83,50.10,0.62,1.99,-0.81,7.32,0,0.67,0.00,0.00,0.63,1,0,0,-0.53,0,,42.7
1604,5,195.48,-1.70,50.05,1.04,2.03,-0.61,6.06,0,0.63,0.00,0.51,0.00,0,0,0,-0.12,0,,42.7
1605,5,195.42,-1.58,50.01,1.40,1.88,-0.63,4.74,0,0.00,0.86,0.28,0.00,1,0,0,-0.12,0,,42.7
1606,5,195.35,-1.46,49.97,1.65,1.71,-0.86,3.48,0,0.00,0.54,0.78,0.00,0,0,0,-0.12,0,,42.7
1607,5,195.29,-1.36,49.91,1.83,1.66,-1.03,2.22,0,0.00,0.45,0.00,0.81,1,0,0,-0.12,0,,42.7
1608,5,195.22,-1.24,49.83,1.93,1.93,-1.13,0.90,0,0.00,0.05,0.00,0.94,0,0,0,-0.12,0,,42.7
1609,5,195.16,-1.11,49.76,1.95,1.96,-1.06,-0.36,0,0.60,0.00,0.75,0.00,0,0,0,-1.12,0,,43.7
1610,5,195.10,-1.00,49.70,1.88,1.79,-1.07,-1.62,0,0.00,0.86,0.20,0.00,0,0,0,-0.12,0,,43.7
1611,5,195.03,-0.88,49.62,1.73,1.74,-1.10,-2.94,0,0.93,0.00,0.01,0.00,0,0,0,-0.12,0,,43.7
1612,5,194.97,-0.77,49.56,1.50,1.80,-0.86,-4.20,0,0.65,0.00,0.00,0.52,0,0,0,-0.12,0,,43.7
1613,5,194.91,-0.65,49.51,1.20,1.77,-0.70,-5.46,0,0.43,0.00,0.90,0.00,0,1,0,-0.12,0,,43.7
1614,5,194.84,-0.54,49.47,0.79,1.65,-0.87,-6.78,0,0.00,0.92,0.02,0.00,1,0,0,-0.12,0,,43.7
1615,5,194.78,-0.50,49.41,0.79,-0.29,-0.86,6.87,0,0.89,0.00,0.13,0.00,0,0,0,-0.12,0,,43.7
1616,5,194.72,-0.52,49.36,1.18,-0.24,-0.79,5.61,0,0.00,0.59,0.00,0.68,1,0,0,-0.12,0,,43.7
1617,5,194.65,-0.53,49.30,1.50,-0.00,-0.77,4.29,0,0.38,0.00,0.00,0.79,0,0,0,-0.12,0,,43.7
1618,5,194.59,-0.52,49.26,1.73,0.09,-0.58,3.03,0,0.92,0.00,0.14,0.00,0,0,0,-0.12,0,,43.7
1619,5,194.52,-0.52,49.22,1.88,0.08,-0.70,1.77,0,0.00,0.86,0.00,0.06,0,0,0,-0.12,0,,43.7
1620,5,194.46,-0.51,49.18,1.95,0.09,-0.61,0.45,0,0.85,0.00,0.00,0.10,1,0,0,-0.12,0,,43.7
1621,5,194.39,-0.50,49.15,1.94,0.13,-0.35,-0.81,0,0.83,0.00,0.00,0.25,0,0,0,-0.12,0,,43.7
1622,5,194.33,-0.50,49.13,1.84,0.05,-0.25,-2.07,0,0.00,0.29,0.82,0.00,0,0,0,-0.12,0,,43.7
1623,5,194.26,-0.50,49.11,1.66,-0.13,-0.43,-3.39,0,0.00,0.82,0.08,0.00,0,0,0,-0.53,0,,44.1
1624,5,194.20,-0.51,49.08,1.41,-0.12,-0.45,-4.65,0,0.91,0.00,0.00,0.21,0,0,0,-0.12,0,,44.1
1625,5,194.14,-0.51,49.06,1.07,-0.00,-0.22,-5.91,0,0.54,0.00,0.00,0.65,0,0,0,-0.12,0,,44.1
1626,5,194.07,-0.51,49.05,0.64,0.21,-0.22,-7.23,0,0.00,0.55,0.00,0.69,0,0,0,-0.12,0,,44.1
1627,5,194.01,-0.39,49.10,0.73,2.19,0.99,2.62,0,0.56,0.00,0.00,0.70,0,0,0,-0.12,0,,44.1
1628,5,193.95,-0.26,49.16,0.85,2.04,1.01,1.36,0,0.00,0.08,0.90,0.00,1,0,0,0.29,0,,43.7
1629,5,193.88,-0.13,49.22,0.90,1.80,0.87,0.04,0,0.00,0.75,0.41,0.00,0,0,0,-0.12,0,,43.7
1630,5,193.82,-0.02,49.27,0.86,1.76,0.62,-1.22,1,0.00,0.84,0.00,0.22,1,0,0,-1.02,0,,44.7
1631,5,193.75,0.09,49.30,0.74,1.68,0.39,-2.48,0,0.00,0.49,0.79,0.00,0,0,0,-0.12,0,,44.7
1632,5,193.69,0.18,49.31,0.58,-0.02,-0.85,1.59,0,0.00,0.23,0.97,0.00,0,1,0,-0.12,0,,44.7
1633,5,193.63,0.17,49.26,0.64,-0.33,-0.90,0.33,0,0.00,0.01,0.92,0.00,0,0,0,-0.12,0,,44.7
1634,5,193.56,0.14,49.20,0.62,-0.54,-0.80,-0.93,0,0.86,0.00,0.29,0.00,0,0,0,-0.12,0,,44.7
1635,5,193.50,0.08,49.16,0.58,-1.27,-0.39,0.28,0,0.00,0.65,0.00,0.61,0,0,0,-0.12,0,,44.7
1636,5,193.43,0.01,49.13,0.65,-0.73,-0.60,7.24,1,0.55,0.00,0.00,0.79,1,0,0,-0.02,0,,44.7
1637,5,193.37,-0.03,49.10,1.06,-0.54,-0.42,5.98,0,0.75,0.00,0.00,0.39,0,0,0,-0.53,0,,45.1
1638,5,193.31,-0.06,49.08,1.41,-0.62,-0.31,4.66,0,0.00,0.03,0.94,0.00,0,0,0,-0.12,0,,45.1
1639,5,193.24,-0.11,49.06,1.66,-0.88,-0.23,3.40,0,0.62,0.00,0.67,0.00,1,0,0,-0.12,0,,45.1
1640,5,193.18,-0.17,49.05,1.84,-0.99,-0.01,2.14,0,0.89,0.00,0.00,0.11,0,0,0,0.88,0,,44.1
1641,5,193.11,-0.23,49.06,1.93,-0.86,0.07,0.82,0,0.00,0.48,0.00,0.81,0,0,0,-0.12,0,,44.1
1642,5,193.05,-0.28,49.06,1.94,-0.83,0.07,-0.44,0,0.60,0.00,0.68,0.00,0,0,0,-0.12,0,,44.1
1643,5,192.99,-0.34,49.07,1.87,-1.07,0.16,-1.70,0,0.00,0.04,0.85,0.00,1,0,0,-0.12,0,,44.1
1644,5,192.92,-0.42,49.08,1.72,-1.19,0.01,-3.02,0,0.00,0.91,0.00,0.26,1,0,0,-0.12,0,,44.1
1645,5,192.86,-0.49,49.07,1.48,-1.03,-0.21,-4.28,0,0.00,0.42,0.00,0.82,0,0,0,-0.12,0,,44.1
1646,5,192.79,-0.55,49.05,1.17,-0.74,-0.21,-5.54,0,0.20,0.00,0.00,0.98,1,1,0,-0.12,0,,44.1
