update,total_steps,episodes,avg_reward,policy_loss,value_loss,entropy
55440,113477663,5314,12973.1629,-0.000537,7.265758,2.906386
55441,113479711,5314,12973.1629,-0.001241,5.922959,2.905772
55442,113481759,5314,12973.1629,-0.001195,4.658931,2.905808
55443,113483807,5314,12973.1629,-0.001946,5.342094,2.905666
55444,113485855,5314,12973.1629,-0.001756,5.446133,2.905594
55445,113487903,5314,12973.1629,-0.001943,4.086129,2.906002
55446,113489951,5314,12973.1629,-0.002402,6.369143,2.906234
55447,113491999,5314,12973.1629,0.000151,4.575033,2.906237
55448,113494047,5314,12973.1629,-0.002310,5.530975,2.905726
55449,113496095,5314,12973.1629,-0.001132,5.627457,2.904906
55450,113498143,5314,12973.1629,-0.001199,5.565274,2.904536
55451,113500191,5314,12973.1629,-0.001423,5.795027,2.904381
55452,113502239,5314,12973.1629,0.000607,5.892335,2.903834
55453,113504287,5314,12973.1629,-0.001833,4.479172,2.903553
55454,113506335,5314,12973.1629,-0.001885,4.922109,2.903741
55455,113508383,5314,12973.1629,-0.002029,4.583741,2.903174
55456,113510431,5314,12973.1629,-0.000423,2.977010,2.902139
55457,113512479,5314,12973.1629,-0.001275,4.070949,2.902481
55458,113514527,5314,12973.1629,0.000325,5.965736,2.902772
55459,113516575,5314,12973.1629,-0.001369,4.478535,2.902713
55460,113518623,5314,12973.1629,-0.001994,4.516266,2.902050
55461,113520671,5314,12973.1629,-0.002927,3.022573,2.901624
55462,113522719,5314,12973.1629,-0.003173,2.555747,2.901692
55463,113524767,5314,12973.1629,-0.002642,6.540127,2.902059
55464,113526815,5314,12973.1629,-0.002352,2.916758,2.902780
55465,113528863,5314,12973.1629,0.001903,1.272647,2.903108
55466,113530911,5314,12973.1629,-0.001671,2.849694,2.903968
55467,113532959,5314,12973.1629,-0.001434,4.777135,2.903468
55468,113535007,5314,12973.1629,-0.002096,3.450689,2.903869
55469,113537055,5314,12973.1629,-0.002833,6.804370,2.904723
55470,113539103,5314,12973.1629,-0.002450,6.685263,2.905173
55471,113541151,5314,12973.1629,-0.002455,4.889257,2.905154
55472,113543199,5314,12973.1629,-0.000744,3.071616,2.905189
55473,113545247,5314,12973.1629,-0.000727,3.266131,2.905298
55474,113547295,5314,12973.1629,-0.001707,4.790655,2.905588
55475,113549343,5314,12973.1629,0.000200,1.975565,2.905593
55476,113551391,5314,12973.1629,-0.002051,4.014584,2.905055
55477,113553439,5314,12973.1629,-0.001714,3.881422,2.903889
55478,113555487,5314,12973.1629,-0.000784,4.077514,2.903539
55479,113557535,5314,12973.1629,-0.000805,2.738834,2.902784
55480,113559583,5314,12973.1629,-0.000539,3.266508,2.902585
55481,113561631,5314,12973.1629,-0.001601,4.432950,2.902184
55482,113563679,5314,12973.1629,-0.000411,5.818612,2.902093
55483,113565727,5314,12973.1629,-0.002453,6.448729,2.902158
55484,113567775,5314,12973.1629,-0.001482,4.967903,2.902460
55485,113569823,5314,12973.1629,-0.000959,2.093724,2.902200
55486,113571871,5314,12973.1629,-0.002204,2.358387,2.902477
55487,113573919,5314,12973.1629,-0.001300,4.208679,2.902946
55488,113575967,5314,12973.1629,-0.002082,3.344841,2.903250
55489,113578015,5314,12973.1629,-0.000286,2.710659,2.903313
55490,113580063,5314,12973.1629,-0.000249,4.351039,2.903878
55491,113582111,5314,12973.1629,-0.001689,5.511274,2.904645
55492,113584159,5314,12973.1629,-0.002312,2.673063,2.905493
55493,113586207,5314,12973.1629,-0.003158,1.959884,2.906867
55494,113588255,5314,12973.1629,-0.001957,4.418700,2.907812
55495,113590303,5314,12973.1629,-0.001689,1.858375,2.908012
55496,113592351,5314,12973.1629,-0.000634,3.636965,2.908110
55497,113594399,5314,12973.1629,-0.002927,4.543741,2.908639
55498,113596447,5314,12973.1629,-0.001869,4.055640,2.908301
55499,113598495,5314,12973.1629,0.001335,2.346518,2.908026
55500,113600543,5314,12973.1629,-0.001052,2.662230,2.908351
55501,113602591,5314,12973.1629,-0.001692,4.349801,2.908459
55502,113604639,5314,12973.1629,-0.002816,3.588806,2.908368
55503,113606687,5314,12973.1629,-0.002284,4.168500,2.908844
55504,113608735,5314,12973.1629,-0.003195,2.431453,2.908522
55505,113610783,5314,12973.1629,-0.001045,1.933128,2.908602
