update,total_steps,episodes,avg_reward,policy_loss,value_loss,entropy
83510,189271121,11918,15273.3328,-0.002665,0.015135,0.500853
83511,189279313,11918,15273.3328,-0.001395,0.009523,0.500777
83512,189287504,11919,15287.4392,-0.009988,0.015583,0.500989
83513,189295695,11920,15324.2680,-0.002434,0.013599,0.501400
83514,189303887,11920,15324.2680,-0.004026,0.019021,0.501823
83515,189312078,11921,15369.1083,-0.001568,0.014992,0.501972
83516,189320268,11922,15418.2195,-0.003819,0.028057,0.502070
83517,189328458,11923,15421.4800,-0.005301,0.039275,0.501931
83518,189336650,11923,15421.4800,-0.005411,0.011801,0.501888
83519,189344840,11924,15468.3475,-0.005833,0.010048,0.501804
83520,189353030,11925,15559.6988,-0.003194,0.034813,0.502022
83521,189361222,11925,15559.6988,-0.006013,0.017151,0.502071
83522,189369413,11926,15599.7829,-0.000799,0.017355,0.502353
83523,189377603,11927,15655.6499,-0.002006,0.031546,0.502239
83524,189385794,11928,15642.3909,-0.004596,0.027367,0.502379
83525,189393986,11928,15642.3909,-0.005177,0.014156,0.502466
83526,189402176,11929,15663.6484,-0.003361,0.018461,0.502510
83527,189410367,11930,15697.3152,-0.002320,0.015227,0.502494
83528,189418559,11930,15697.3152,-0.004621,0.012625,0.502323
83529,189426749,11931,15754.9946,-0.004052,0.014347,0.502319
83530,189434940,11932,15740.9424,-0.003940,0.022103,0.502637
83531,189443130,11933,15763.5657,-0.002843,0.026041,0.502583
83532,189451322,11933,15763.5657,-0.001784,0.019747,0.502133
83533,189459513,11934,15792.1244,-0.004581,0.014971,0.502071
83534,189467704,11935,15865.9610,-0.008484,0.019713,0.502068
83535,189475895,11936,15885.3335,-0.002643,0.039955,0.502022
83536,189484087,11936,15885.3335,-0.002741,0.006754,0.502125
83537,189492277,11937,15909.9738,-0.004922,0.013901,0.502333
83538,189500468,11938,15943.4167,0.051957,0.035945,0.502370
83539,189508660,11938,15943.4167,-0.005851,0.008783,0.502211
83540,189516851,11939,16004.0613,-0.001890,0.014572,0.501954
83541,189525042,11940,16002.1485,-0.003365,0.032158,0.502023
83542,189533233,11941,16016.5342,-0.006625,0.014421,0.502239
83543,189541425,11941,16016.5342,-0.003209,0.017785,0.502210
83544,189549616,11942,16020.9806,-0.005758,0.030013,0.502141
83545,189557807,11943,16029.1686,-0.004897,0.021242,0.502072
83546,189565999,11943,16029.1686,-0.005708,0.019094,0.501974
83547,189574190,11944,16050.4060,-0.006147,0.029684,0.501854
83548,189582380,11945,16109.3565,-0.002908,0.021188,0.501637
83549,189590571,11946,16124.1862,-0.005643,0.017588,0.501444
83550,189598763,11946,16124.1862,-0.001947,0.019474,0.501310
83551,189606953,11947,16121.7179,-0.004209,0.017446,0.501184
83552,189615143,11948,16176.5251,-0.003561,0.013273,0.500927
83553,189623335,11948,16176.5251,-0.006853,0.009734,0.500882
83554,189631525,11949,16237.8329,-0.002920,0.010698,0.500627
83555,189639716,11950,16259.6834,-0.004324,0.012677,0.500436
83556,189647907,11951,16321.9412,-0.000579,0.014860,0.500569
83557,189656099,11951,16321.9412,-0.003517,0.029100,0.500664
83558,189664290,11952,16313.8054,-0.002024,0.073025,0.500620
83559,189672480,11953,16287.4035,-0.005196,0.017872,0.500529
83560,189680671,11954,16345.2303,-0.006268,0.020155,0.500434
83561,189688863,11954,16345.2303,-0.005451,0.012957,0.500373
83562,189697054,11955,16380.5985,-0.005031,0.018859,0.500040
83563,189705245,11956,16398.2154,-0.002400,0.022397,0.499913
83564,189713437,11956,16398.2154,0.002837,0.011242,0.499993
83565,189721628,11957,16428.1434,-0.002928,0.022196,0.500114
83566,189729819,11958,16425.6416,-0.004900,0.021168,0.500336
83567,189738010,11959,16437.0186,-0.004916,0.013122,0.500434
83568,189746202,11959,16437.0186,0.000395,0.021194,0.500202
83569,189754393,11960,16390.0064,-0.002493,0.039636,0.500141
83570,189762584,11961,16442.1814,-0.007179,0.013847,0.500072
83571,189770776,11961,16442.1814,-0.004827,0.011768,0.499912
83572,189778966,11962,16483.1634,-0.002803,0.012937,0.499812
83573,189787157,11963,16459.2481,-0.003342,0.013586,0.499935
83574,189795347,11964,16457.5043,-0.006097,0.023980,0.500112
83575,189803539,11964,16457.5043,-0.003203,0.014970,0.500261
83576,189811730,11965,16456.8531,-0.004298,0.012869,0.499984
83577,189819921,11966,16482.1490,-0.005968,0.019194,0.499594
83578,189828113,11966,16482.1490,-0.004827,0.019515,0.499153
83579,189836304,11967,16473.2597,-0.005311,0.013759,0.498863
83580,189844495,11968,16459.8256,-0.001833,0.023993,0.498755
83581,189852685,11969,16453.1894,-0.005317,0.015688,0.498734
83582,189860877,11969,16453.1894,0.002469,0.018805,0.498654
83583,189869067,11970,16422.9231,-0.004264,0.019864,0.498783
83584,189877258,11971,16372.8818,-0.003274,0.026806,0.498964
83585,189885448,11972,16325.6796,-0.002404,0.037278,0.498971
83586,189893640,11972,16325.6796,-0.001799,0.012949,0.498658
83587,189901830,11973,16335.5542,-0.001710,0.028282,0.498644
83588,189910021,11974,16324.5034,-0.005682,0.021788,0.498583
83589,189918213,11974,16324.5034,-0.003313,0.011753,0.498451
83590,189926404,11975,16322.4760,-0.003627,0.009920,0.498186
83591,189934595,11976,16355.9736,-0.001591,0.017511,0.497910
83592,189942786,11977,16354.6331,-0.003847,0.011046,0.497823
83593,189950978,11977,16354.6331,-0.004344,0.021392,0.497742
83594,189959169,11978,16310.9304,-0.004873,0.022816,0.497948
83595,189967360,11979,16255.8856,-0.004802,0.026807,0.498161
83596,189975552,11979,16255.8856,-0.006233,0.011072,0.498032
83597,189983742,11980,16278.3635,-0.002244,0.011128,0.497876
83598,189991933,11981,16283.1582,-0.006524,0.018981,0.497822
83599,190000124,11982,16273.4417,-0.004131,0.016809,0.497479
83600,190008316,11982,16273.4417,-0.002378,0.019953,0.497410
83601,190016506,11983,16282.5689,-0.004316,0.018341,0.497323
83602,190024697,11984,16272.3895,-0.004811,0.015980,0.497236
83603,190032889,11984,16272.3895,-0.005203,0.012764,0.497179
83604,190041080,11985,16249.9957,-0.003636,0.016671,0.497146
83605,190049271,11986,16277.2465,-0.006057,0.009950,0.497239
83606,190057461,11987,16280.6711,-0.004034,0.027180,0.497050
83607,190065653,11987,16280.6711,-0.003333,0.010012,0.496890
83608,190073844,11988,16256.8668,-0.004842,0.013123,0.496962
83609,190082035,11989,16276.7731,-0.004617,0.008406,0.497241
83610,190090226,11990,16251.1866,-0.003913,0.019193,0.497291
83611,190098418,11990,16251.1866,-0.006886,0.017071,0.497026
83612,190106609,11991,16263.1980,-0.003924,0.034785,0.496725
83613,190114800,11992,16270.0594,-0.006349,0.018694,0.496693
83614,190122992,11992,16270.0594,-0.003762,0.011113,0.496679
83615,190131183,11993,16273.6867,-0.007460,0.025753,0.496694
83616,190139374,11994,16234.2297,-0.002883,0.012191,0.496576
83617,190147565,11995,16244.4648,-0.001648,0.024188,0.496703
83618,190155757,11995,16244.4648,-0.002213,0.022943,0.497044
83619,190163947,11996,16244.8954,-0.003750,0.020776,0.496946
83620,190172138,11997,16225.5081,-0.005274,0.024825,0.497074
83621,190180330,11997,16225.5081,-0.005544,0.011631,0.496999
83622,190188521,11998,16243.4352,-0.005431,0.011690,0.496968
83623,190196712,11999,16232.0183,-0.003977,0.014594,0.496945
83624,190204902,12000,16197.2538,-0.006550,0.024742,0.497050
83625,190213094,12000,16197.2538,-0.005814,0.013937,0.497357
83626,190221285,12001,16213.3387,-0.004938,0.010959,0.497402
83627,190229476,12002,16239.9088,-0.005760,0.019380,0.497375
83628,190237668,12002,16239.9088,-0.006652,0.029579,0.497587
83629,190245858,12003,16226.9975,-0.005757,0.012023,0.497772
83630,190254048,12004,16291.5690,-0.004557,0.015708,0.497467
83631,190262239,12005,16296.0042,-0.002905,0.021333,0.497078
83632,190270431,12005,16296.0042,-0.003569,0.030502,0.497233
83633,190278622,12006,16243.5034,-0.004377,0.066137,0.497447
83634,190286813,12007,16212.9209,-0.004762,0.028742,0.497618
83635,190295004,12008,16172.1555,-0.002398,0.019199,0.497469
83636,190303196,12008,16172.1555,-0.001797,0.016858,0.497669
83637,190311387,12009,16135.9676,-0.001316,0.014663,0.497981
83638,190319578,12010,16127.7231,-0.003662,0.012653,0.497961
83639,190327770,12010,16127.7231,-0.002346,0.013553,0.497751
83640,190335961,12011,16199.3453,-0.003815,0.014898,0.497683
83641,190344152,12012,16191.9940,-0.003178,0.011161,0.497530
83642,190352343,12013,16147.2139,-0.002973,0.037947,0.497160
83643,190360535,12013,16147.2139,-0.005752,0.011577,0.497200
83644,190368726,12014,16130.6937,-0.001045,0.019999,0.497268
83645,190376917,12015,16081.8777,0.000557,0.037086,0.497039
83646,190385109,12015,16081.8777,-0.002333,0.015957,0.496724
83647,190393300,12016,16075.9011,0.000425,0.014600,0.496519
83648,190401491,12017,16067.5211,-0.002718,0.022804,0.496598
83649,190409682,12018,16035.1774,-0.004873,0.027479,0.496923
83650,190417874,12018,16035.1774,-0.005704,0.041535,0.497044
83651,190426064,12019,15938.0474,-0.000557,0.048309,0.496980
83652,190434255,12020,15904.1133,-0.004613,0.021835,0.497263
83653,190442447,12020,15904.1133,-0.000947,0.024246,0.497159
83654,190450638,12021,15886.6280,-0.002944,0.014727,0.496925
83655,190458829,12022,15922.9465,-0.006410,0.015142,0.496747
83656,190467019,12023,15922.0586,-0.004180,0.027100,0.496692
83657,190475211,12023,15922.0586,-0.003488,0.022796,0.496767
83658,190483402,12024,15903.1876,-0.006397,0.022612,0.496865
83659,190491593,12025,15891.8317,-0.005848,0.017410,0.497208
83660,190499784,12026,15921.7175,-0.006365,0.018152,0.497131
83661,190507976,12026,15921.7175,-0.003825,0.013305,0.497015
83662,190516167,12027,15912.2391,-0.007502,0.014836,0.497067
83663,190524358,12028,15987.1419,-0.001439,0.015505,0.497178
83664,190532550,12028,15987.1419,-0.004019,0.013663,0.497122
83665,190540740,12029,15959.7512,-0.003975,0.032922,0.496928
83666,190548931,12030,15909.3579,-0.000623,0.016231,0.496911
83667,190557122,12031,15871.3625,-0.002303,0.036166,0.496826
83668,190565314,12031,15871.3625,-0.004676,0.019098,0.496800
83669,190573505,12032,15905.3852,-0.005886,0.020149,0.496810
83670,190581696,12033,15895.3331,-0.004157,0.028018,0.496707
83671,190589888,12033,15895.3331,-0.003744,0.013011,0.496441
