tick,x,y,z,vx,vy,vz,gem_dist,gem_dx,gem_dy,dx,dy,throttle,jump,brake
213,-26.226,6.740,20.840,-0.289,4.769,0,10.697,3.025,10.260,0.258,0.541,0.937,0.000,0.000
217,-26.227,7.052,20.840,0.153,5.159,0,10.399,3.027,9.948,0.930,0.747,0.902,0.000,0.000
221,-26.199,7.405,20.840,0.708,5.443,0.005,10.054,2.999,9.595,1.642,0.213,0.906,0.000,0.000
225,-26.132,7.751,20.840,1.411,5.497,0,9.704,2.932,9.249,0.784,0.571,0.870,0.000,0.000
229,-26.022,8.099,20.840,2.004,5.585,0,9.339,2.822,8.901,1.078,0.597,0.866,0.000,0.000
233,-25.870,8.470,20.840,2.577,5.625,0,8.939,2.670,8.530,0.750,1.194,0.904,0.000,0.000
237,-25.695,8.831,20.840,2.901,5.873,0,8.543,2.495,8.169,0.599,1.681,0.918,0.000,0.000
241,-25.508,9.213,20.840,3.001,6.243,0,8.123,2.308,7.787,-0.346,0.632,0.917,0.000,0.000
245,-25.320,9.637,20.840,2.553,6.582,0,7.663,2.120,7.363,0.476,0.915,0.917,0.000,0.000
249,-25.166,10.062,20.840,2.517,6.909,0,7.212,1.966,6.938,0.793,1.322,0.893,0.000,0.000
253,-25.000,10.508,20.840,2.748,7.191,0,6.739,1.800,6.492,0.907,0.584,0.866,0.000,0.000
257,-24.815,10.965,20.840,3.136,7.275,0,6.249,1.615,6.035,0.095,0.194,0.863,0.000,0.000
261,-24.597,11.449,20.840,3.402,7.439,0,5.726,1.397,5.551,-0.465,0.933,0.871,0.000,0.000
265,-24.400,11.902,20.840,3.030,7.661,0,5.239,1.200,5.098,-0.762,0.928,0.925,0.000,0.000
269,-24.210,12.439,20.840,2.436,7.860,0,4.674,1.010,4.561,-0.257,0.950,0.930,0.000,0.000
273,-24.075,12.942,20.840,1.962,8.134,0,4.153,0.875,4.058,-0.901,0.884,0.935,0.000,0.000
277,-23.970,13.461,20.840,1.323,8.274,0,3.625,0.770,3.539,0.291,0.874,0.930,0.000,0.000
281,-23.894,14.013,20.840,1.199,8.509,0,3.069,0.694,2.987,-1.019,-0.533,0.926,0.000,0.000
285,-23.826,14.543,20.840,0.804,8.127,0,2.540,0.626,2.457,-1.108,-0.465,0.911,0.000,0.000
289,-23.797,15.033,20.840,0.172,7.492,0,2.060,0.597,1.967,-0.957,-0.475,0.912,0.000,0.000
293,-23.808,15.504,20.840,-0.481,6.816,0,1.621,0.608,1.496,0.183,-0.568,0.858,0.000,0.000
297,-23.845,15.908,20.840,-0.518,6.005,0,1.276,0.645,1.092,0.857,-0.457,0.880,0.000,0.000
301,-23.866,16.248,20.840,-0.096,5.381,0,1.014,0.666,0.752,0.765,-1.049,0.888,0.000,0.000
305,-23.852,16.590,20.840,0.402,4.550,0,10.498,-1.348,10.410,-0.937,0.020,0.877,0.000,0.000
309,-23.836,16.859,20.840,-0.107,4.134,0,10.233,-1.364,10.141,-0.420,1.160,0.809,0.000,0.000
313,-23.861,17.123,20.840,-0.544,4.378,0,9.968,-1.339,9.877,-1.142,1.628,0.826,0.000,0.000
317,-23.909,17.426,20.840,-0.933,4.735,0,9.662,-1.291,9.574,-0.992,-0.115,0.837,0.000,0.000
321,-23.987,17.723,20.840,-1.567,4.555,0,9.357,-1.213,9.277,-0.785,0.876,0.792,0.000,0.000
325,-24.105,18.008,20.840,-2.067,4.617,0,9.060,-1.095,8.992,0.086,0.359,0.795,0.000,0.000
329,-24.244,18.324,20.840,-2.031,4.974,0,8.730,-0.956,8.676,0.157,0.221,0.810,0.000,0.000
333,-24.359,18.648,20.840,-1.586,5.275,0,8.395,-0.841,8.352,0.277,1.496,0.807,0.000,0.000
337,-24.447,18.991,20.840,-1.280,5.603,0,8.046,-0.753,8.009,-0.839,1.108,0.774,0.000,0.000
341,-24.534,19.370,20.840,-1.492,5.841,0,7.660,-0.666,7.630,0.117,1.105,0.798,0.000,0.000
345,-24.631,19.747,20.840,-1.487,6.123,0,7.277,-0.569,7.253,0.356,0.838,0.823,0.000,0.000
349,-24.716,20.143,20.840,-1.174,6.437,0,6.876,-0.484,6.857,-0.025,1.074,0.756,0.000,0.000
353,-24.786,20.579,20.840,-1.034,6.745,0,6.436,-0.414,6.421,0.308,0.741,0.793,0.000,0.000
357,-24.846,21.012,20.840,-0.823,6.979,0,6.000,-0.354,5.988,-0.615,0.600,0.842,0.000,0.000
361,-24.902,21.456,20.840,-1.122,7.100,0,5.553,-0.298,5.544,0.953,0.253,0.822,0.000,0.000
365,-24.976,21.927,20.840,-0.801,7.132,0,5.080,-0.224,5.073,0.766,0.420,0.851,0.000,0.000
369,-25.002,22.376,20.840,-0.105,7.132,0,4.630,-0.198,4.624,0.759,0.616,0.863,0.000,0.000
373,-24.990,22.804,20.840,0.464,7.147,0,4.203,-0.210,4.196,0.238,0.582,0.865,0.000,0.000
377,-24.941,23.302,20.840,0.853,7.336,0,3.709,-0.259,3.698,-0.127,0.179,0.848,0.000,0.000
381,-24.891,23.772,20.840,0.585,7.537,0,3.246,-0.309,3.228,-0.884,-1.018,0.869,0.000,0.000
385,-24.869,24.239,20.840,0.142,7.098,0,2.785,-0.331,2.761,-1.485,0.368,0.876,0.000,0.000
389,-24.882,24.692,20.840,-0.580,6.836,0,2.334,-0.318,2.308,-1.058,-0.837,0.916,0.000,0.000
393,-24.940,25.110,20.840,-1.151,6.297,0,1.913,-0.260,1.890,-1.108,-0.226,0.905,0.000,0.000
397,-25.033,25.485,20.840,-1.816,5.716,0,1.530,-0.167,1.515,-0.210,-0.749,0.917,0.000,0.000
401,-25.168,25.837,20.840,-2.116,4.907,0,1.171,-0.032,1.163,0.744,0.162,0.895,0.000,0.000
405,-25.287,26.132,20.840,-1.507,4.652,0,0.883,0.087,0.868,0.905,-0.174,0.847,0.000,0.000
