tick,x,y,z,vx,vy,vz,gem_dist,gem_dx,gem_dy,dx,dy,throttle,jump,brake
909,-25.444,23.089,18.200,8.227,-0.163,-12.642,14.886,12.243,-8.089,-0.641,0.666,0.967,1.000,0.000
913,-24.934,23.083,17.362,7.983,0.008,-13.902,14.634,11.734,-8.083,-1.129,0.007,0.960,0.000,0.000
917,-24.440,23.088,16.445,7.700,0.080,-15.162,14.486,11.240,-8.088,-1.006,-0.023,0.971,1.000,0.000
921,-23.943,23.093,15.397,7.370,0.066,-16.482,14.458,10.743,-8.093,-1.551,0.201,0.970,0.000,0.000
925,-23.511,23.097,14.370,7.070,0.074,-17.682,14.558,10.311,-8.097,-1.363,0.503,0.979,0.000,0.000
929,-23.035,23.104,13.099,6.739,0.152,-19.062,14.838,9.835,-8.104,-1.227,-0.126,0.986,1.000,0.000
933,-22.640,23.114,11.916,6.445,0.154,-20.262,15.235,9.440,-8.114,-1.864,0.212,0.984,0.000,1.000
937,-22.226,23.123,10.532,6.115,0.125,-21.582,15.838,9.026,-8.123,-0.758,0.410,0.990,0.000,0.000
941,-21.834,23.133,9.062,5.813,0.217,-22.902,16.617,8.634,-8.133,-0.572,0.777,0.988,0.000,0.000
945,-21.475,23.153,7.577,5.594,0.425,-24.162,17.526,8.275,-8.153,-0.628,0.845,0.994,0.000,1.000
949,-21.131,23.183,6.013,5.313,0.465,-25.422,18.589,7.931,-8.183,-0.306,0.808,0.995,0.000,0.000
953,-20.789,23.218,4.290,5.123,0.649,-26.742,19.860,7.589,-8.218,-0.279,0.933,0.997,0.000,0.000
957,-20.470,23.268,2.563,5.019,0.938,-28.002,21.216,7.270,-8.268,-0.015,1.116,0.997,0.000,0.000
961,-20.155,23.337,0.758,4.977,1.234,-29.262,22.706,6.955,-8.337,0.144,1.362,0.998,0.000,0.000
965,-19.827,23.429,-1.219,4.984,1.543,-30.582,24.401,6.627,-8.429,-0.978,0.946,0.998,0.000,1.000
969,-19.518,23.529,-3.187,4.765,1.557,-31.842,26.139,6.318,-8.529,-0.356,0.710,0.999,0.000,1.000
973,-19.228,23.624,-5.235,4.450,1.459,-33.102,27.988,6.028,-8.624,0.090,1.501,0.999,0.000,1.000
977,-18.946,23.717,-7.465,4.120,1.355,-34.422,30.038,5.746,-8.717,-0.393,1.187,0.999,0.000,1.000
981,-18.697,23.798,-9.675,3.805,1.247,-35.682,32.098,5.497,-8.798,-0.028,0.771,1.000,0.000,1.000
985,-18.467,23.874,-11.965,3.490,1.148,-36.942,34.256,5.267,-8.874,-0.311,0.652,1.000,0.000,1.000
989,-18.248,23.946,-14.449,3.160,1.036,-38.262,36.619,5.048,-8.946,-0.038,1.242,1.000,0.000,1.000
993,-18.060,24.008,-16.901,2.845,0.937,-39.522,38.969,4.860,-9.008,0.242,1.430,1.000,0.000,1.000
997,-17.891,24.063,-19.432,2.530,0.829,-40.782,41.409,4.691,-9.063,0.609,1.763,1.000,0.000,1.000
1001,-17.735,24.114,-22.169,2.200,0.725,-42.102,44.061,4.535,-9.114,0.640,0.861,1.000,0.000,1.000
1005,-17.607,24.156,-24.863,1.885,0.618,-43.362,46.683,4.407,-9.156,-0.702,1.404,1.000,0.000,1.000
1009,-17.499,24.192,-27.637,1.570,0.515,-44.622,49.390,4.299,-9.192,0.604,1.401,1.000,0.000,1.000
1013,-17.406,24.222,-30.628,1.240,0.406,-45.942,52.319,4.206,-9.222,-0.243,1.717,1.000,0.000,0.000
1017,-17.334,24.251,-33.563,1.108,0.589,-47.202,55.201,4.134,-9.251,0.343,0.605,1.000,0.000,1.000
1021,-17.270,24.290,-36.579,0.888,0.552,-48.462,58.170,4.070,-9.290,0.782,0.536,1.000,0.000,1.000
1025,-17.222,24.320,-39.823,0.600,0.366,-49.782,61.368,4.022,-9.320,0.198,0.434,1.000,0.000,1.000
1029,-17.193,24.337,-43.001,0.324,0.189,-51.042,64.505,3.993,-9.337,0.245,0.966,1.000,0.000,1.000
1033,-17.182,24.343,-46.258,0.045,0.020,-52.302,67.724,3.982,-9.343,0.571,0.807,1.000,0.000,1.000
1037,-17.181,24.346,-49.756,0.073,0.137,-53.622,71.184,3.981,-9.346,0.111,0.906,1.000,0.000,1.000
1041,-17.177,24.353,-53.176,0.002,0.003,-54.882,74.571,3.977,-9.353,0.442,1.242,1.000,0.000,1.000
1045,-17.175,24.360,-56.675,0.055,0.160,-56.142,78.040,3.975,-9.360,-0.114,1.127,1.000,0.000,1.000
1049,-17.175,24.364,-60.426,-0.024,0.130,-57.462,81.761,3.975,-9.365,0.395,0.769,1.000,0.000,1.000
1053,-17.176,24.372,-64.088,-0.007,-0.005,-58.722,85.397,3.976,-9.372,0.648,1.033,1.000,0.000,1.000
1057,-17.172,24.379,-67.829,0.093,0.149,-59.982,89.113,3.972,-9.379,0.837,1.162,1.000,0.000,1.000
1061,-17.169,24.383,-71.833,0.113,0.141,-61.302,93.092,3.969,-9.383,1.046,0.800,1.000,0.000,0.000
1065,-17.155,24.399,-75.549,0.344,0.349,-62.502,96.788,3.955,-9.399,0.384,1.111,1.000,0.000,1.000
1069,-17.131,24.422,-79.720,0.254,0.240,-63.822,100.938,3.932,-9.421,0.638,1.698,1.000,0.000,1.000
1073,-17.123,24.429,-83.978,0.006,0.006,-65.142,105.175,3.923,-9.429,0.598,1.314,1.000,0.000,1.000
1077,-17.124,24.431,-88.123,0.065,0.169,-66.402,109.302,3.924,-9.431,0.790,0.829,1.000,0.000,1.000
1081,-25.001,35.250,23.983,-0.004,-0.005,-0.800,23.666,11.801,-20.250,0.616,0.912,0.972,0.000,1.000
1085,-24.995,35.257,23.891,0.119,0.164,-2.060,23.657,11.795,-20.257,0.181,0.671,0.982,0.000,1.000
1089,-24.994,35.260,23.709,-0.031,-0.001,-3.380,23.635,11.794,-20.260,0.458,-0.603,0.931,0.000,0.000
1093,-24.992,35.259,23.455,0.107,-0.114,-4.640,23.602,11.792,-20.259,0.574,-0.750,0.937,0.000,0.000
1097,-24.979,35.244,23.121,0.284,-0.350,-5.900,23.546,11.779,-20.244,0.087,-0.797,0.986,0.000,0.000
1101,-24.957,35.211,22.686,0.357,-0.654,-7.220,23.466,11.757,-20.211,0.742,-0.475,0.985,0.000,0.000
1105,-24.930,35.162,22.189,0.545,-0.870,-8.480,23.373,11.730,-20.162,0.465,-0.515,0.998,0.000,0.000
1109,-24.837,34.964,22.290,1.651,-3.493,2.200,23.163,11.637,-19.964,0.399,-1.348,0.997,0.000,0.000
1113,-24.724,34.724,22.389,1.773,-3.797,0.880,22.905,11.524,-19.724,0.755,-0.252,0.944,0.000,0.000
1117,-24.606,34.478,22.403,1.992,-3.957,-0.380,22.636,11.406,-19.478,0.928,-0.819,0.936,0.000,0.000
1121,-24.472,34.223,22.337,2.226,-4.126,-1.640,22.345,11.272,-19.223,0.333,-0.319,0.951,0.000,0.000
1125,-24.318,33.944,22.183,2.438,-4.346,-2.960,22.015,11.118,-18.944,0.213,-0.467,0.970,0.000,0.000
1129,-24.159,33.661,21.955,2.579,-4.619,-4.220,21.678,10.959,-18.661,0.612,-0.771,0.964,0.000,0.000
1133,-23.986,33.350,21.701,3.350,-6.077,0.350,21.309,10.786,-18.350,1.082,-0.302,0.974,0.000,0.000
1137,-23.756,32.943,21.678,3.620,-6.233,-0.970,20.841,10.556,-17.943,1.380,-0.913,0.966,0.000,0.000
1141,-23.520,32.545,21.575,3.873,-6.388,-2.230,20.374,10.320,-17.545,0.947,-0.005,0.959,0.000,0.000
1145,-23.267,32.140,21.393,4.151,-6.452,-3.490,19.890,10.067,-17.140,0.495,0.155,0.952,0.000,0.000
1149,-22.974,31.689,21.268,4.682,-6.695,-1.674,19.349,9.774,-16.689,0.610,0.299,0.972,0.000,0.000
1153,-22.664,31.280,21.166,5.134,-6.269,-1.567,18.837,9.464,-16.280,1.633,-0.510,0.974,0.000,0.000
1157,-22.326,30.887,21.067,5.583,-6.353,-1.588,18.325,9.125,-15.887,-0.012,-1.300,0.975,1.000,0.000
