update,total_steps,episodes,avg_reward,policy_loss,value_loss,entropy
97,49664,5,-19.3757,-0.000320,0.000046,2.181132
98,50176,5,-19.3757,-0.001618,0.000125,2.173757
99,50688,5,-19.3757,-0.004267,0.000050,2.159303
100,51200,5,-19.3757,-0.000118,0.000008,2.152043
101,51712,5,-19.3757,-0.003092,0.000012,2.159279
102,52224,6,-20.9177,-0.001342,0.000004,2.172024
103,52736,6,-20.9177,-0.005386,0.000002,2.183718
104,53248,6,-20.9177,-0.000202,0.000003,2.189696
105,53760,6,-20.9177,-0.001383,0.000003,2.190652
106,54272,6,-20.9177,-0.001133,0.000001,2.190495
107,54784,6,-20.9177,-0.000985,0.000001,2.190049
108,55296,6,-20.9177,-0.001599,0.000001,2.188869
109,55808,6,-20.9177,-0.003697,0.000003,2.184322
110,56320,6,-20.9177,-0.005499,0.000005,2.166391
111,56832,6,-20.9177,-0.004126,0.000016,2.140261
112,57344,6,-20.9177,-0.001247,0.000605,2.128638
113,57856,6,-20.9177,-0.002830,0.008028,2.141295
114,58368,6,-20.9177,-0.004405,0.000048,2.159971
115,58880,6,-20.9177,-0.006295,0.000244,2.186167
116,59392,6,-20.9177,-0.002395,0.000081,2.191356
117,59904,6,-20.9177,-0.000440,0.000029,2.190303
118,60416,6,-20.9177,-0.000264,0.000006,2.189640
119,60928,6,-20.9177,-0.000746,0.000002,2.189945
120,61440,6,-20.9177,-0.000326,0.000003,2.190192
121,61952,6,-20.9177,-0.000743,0.000002,2.189340
122,62464,6,-20.9177,-0.001351,0.000002,2.187953
123,62976,6,-20.9177,-0.000746,0.000004,2.183044
124,63488,6,-20.9177,-0.001482,0.000002,2.178349
125,64000,7,-21.9931,-0.003597,0.000013,2.161428
126,64512,7,-21.9931,0.001037,0.000012,2.138277
127,65024,7,-21.9931,-0.002306,0.000033,2.149887
128,65536,7,-21.9931,-0.003204,0.000016,2.163658
129,66048,7,-21.9931,-0.000246,0.000009,2.176501
130,66560,7,-21.9931,-0.001872,0.009179,2.181985
131,67072,7,-21.9931,0.000156,0.000017,2.186010
132,67584,7,-21.9931,-0.000148,0.000061,2.184438
133,68096,7,-21.9931,-0.000573,0.000384,2.184616
134,68608,7,-21.9931,-0.000226,0.002140,2.186846
135,69120,7,-21.9931,-0.000057,0.005879,2.188831
136,69632,7,-21.9931,-0.000515,0.009892,2.190579
137,70144,7,-21.9931,-0.001935,0.010371,2.190520
138,70656,8,-24.8446,-0.001803,0.012238,2.186031
139,71168,8,-24.8446,-0.000023,0.000029,2.187985
140,71680,8,-24.8446,-0.004908,0.000022,2.186693
141,72192,8,-24.8446,-0.000687,0.000025,2.185769
142,72704,8,-24.8446,0.000139,0.000159,2.184423
143,73216,8,-24.8446,-0.001169,0.000252,2.186281
